Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
LC,2020,500,92950,gas,V8,19.0,2,4
LC,2020,500h,97510,hybrid,V6,30.0,2,4
RC,2020,300,41295,gas,I4,24.0,2,4
RC,2020,300,43985,gas,V6,21.0,2,4
RC,2020,300 F SPORT,46365,gas,I4,24.0,2,4
RC,2020,300 F SPORT,48540,gas,V6,21.0,2,4
RC,2020,350,44225,gas,V6,23.0,2,4
RC,2020,350,46390,gas,V6,21.0,2,4
RC,2020,350 F SPORT,49295,gas,V6,23.0,2,4
RC,2020,350 F SPORT,50905,gas,V6,21.0,2,4
RC,2020,F,64900,gas,V8,19.0,2,4
RC,2020,F Track Edition,96800,gas,V8,19.0,2,4
LC,2019,500,92300,gas,V8,19.0,2,4
LC,2019,500h,96810,hybrid,V6,30.0,2,4
RC,2019,300,43835,gas,V6,21.0,2,4
RC,2019,300,41145,gas,I4,24.0,2,4
RC,2019,300 F SPORT,47860,gas,I4,24.0,2,4
RC,2019,300 F SPORT,50035,gas,V6,21.0,2,4
RC,2019,350,44075,gas,V6,23.0,2,4
RC,2019,350,46240,gas,V6,21.0,2,4
RC,2019,350 F SPORT,52400,gas,V6,21.0,2,4
RC,2019,350 F SPORT,50790,gas,V6,23.0,2,4
RC,2019,F,64650,gas,V8,19.0,2,4
LC,2018,500,92000,gas,V8,19.0,2,4
LC,2018,500h,96510,hybrid,V6,30.0,2,4
RC,2018,300,40640,gas,I4,26.0,2,4
RC,2018,300,43330,gas,V6,21.0,2,4
RC,2018,350,43570,gas,V6,23.0,2,4
RC,2018,350,45735,gas,V6,21.0,2,4
RC,2018,F,64650,gas,V8,19.0,2,4
RC,2017,200t,40155,gas,I4,26.0,2,4
RC,2017,300,42770,gas,V6,21.0,2,4
RC,2017,350,43010,gas,V6,22.0,2,4
RC,2017,350,45175,gas,V6,21.0,2,4
RC,2017,F,64165,gas,V8,19.0,2,4
RC,2016,200t,39995,gas,I4,26.0,2,4
RC,2016,300,42610,gas,V6,21.0,2,4
RC,2016,350,45015,gas,V6,21.0,2,4
RC,2016,350,42780,gas,V6,22.0,2,4
RC,2016,F,62805,gas,V8,19.0,2,4
RC,2015,350,42790,gas,V6,22.0,2,4
RC,2015,350,45025,gas,V6,21.0,2,4
RC,2015,F,62400,gas,V8,19.0,2,4
