Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
GX,2020,460,53000,gas,V8,16.0,5,7
GX,2020,460 Luxury,64265,gas,V8,16.0,5,7
LX,2020,570 Three-Row,91480,gas,V8,14.0,5,8
LX,2020,570 Two-Row,86480,gas,V8,14.0,5,5
NX,2020,300,38120,gas,I4,24.0,5,5
NX,2020,300,36720,gas,I4,25.0,5,5
NX,2020,300 F SPORT,40360,gas,I4,24.0,5,5
NX,2020,300 F SPORT,38960,gas,I4,25.0,5,5
NX,2020,300 Luxury,43810,gas,I4,25.0,5,5
NX,2020,300 Luxury,45210,gas,I4,24.0,5,5
NX,2020,300h,39070,hybrid,I4,31.0,5,5
NX,2020,300h Luxury,46160,hybrid,I4,31.0,5,5
RX,2020,350,45550,gas,V6,22.0,5,5
RX,2020,350,44150,gas,V6,23.0,5,5
RX,2020,350 F SPORT,49350,gas,V6,22.0,5,5
RX,2020,350 F SPORT,47950,gas,V6,23.0,5,5
RX,2020,350 F SPORT Performance,51750,gas,V6,22.0,5,5
RX,2020,350 F SPORT Performance,50350,gas,V6,23.0,5,5
RX,2020,350L,48700,gas,V6,21.0,5,7
RX,2020,350L,47300,gas,V6,22.0,5,7
RX,2020,350L Luxury,54700,gas,V6,21.0,5,7
RX,2020,350L Luxury,53300,gas,V6,22.0,5,7
RX,2020,450h,46800,hybrid,V6,30.0,5,5
RX,2020,450h F SPORT,50600,hybrid,V6,30.0,5,5
RX,2020,450h F SPORT Performance,52920,hybrid,V6,30.0,5,5
RX,2020,450hL,50510,hybrid,V6,29.0,5,6
RX,2020,450hL Luxury,56510,hybrid,V6,29.0,5,6
UX,2020,200,32300,gas,I4,33.0,5,5
UX,2020,200 F SPORT,34300,gas,I4,33.0,5,5
UX,2020,200 Luxury,37500,gas,I4,33.0,5,5
UX,2020,200h,34500,hybrid,I4,39.0,5,5
UX,2020,200h F SPORT,36500,hybrid,I4,39.0,5,5
UX,2020,200h Luxury,39700,hybrid,I4,39.0,5,5
GX,2019,460,52505,gas,V8,16.0,5,7
GX,2019,460 Luxury,63905,gas,V8,16.0,5,7
LX,2019,570 Three-Row,91230,gas,V8,15.0,5,8
LX,2019,570 Two-Row,86230,gas,V8,15.0,5,5
NX,2019,300,36485,gas,I4,25.0,5,5
NX,2019,300,37885,gas,I4,24.0,5,5
NX,2019,300 F SPORT,40125,gas,I4,24.0,5,5
NX,2019,300 F SPORT,38725,gas,I4,25.0,5,5
NX,2019,300h,38835,hybrid,I4,31.0,5,5
RX,2019,350,45220,gas,V6,22.0,5,5
RX,2019,350,43820,gas,V6,23.0,5,5
RX,2019,350 F SPORT,50870,gas,V6,22.0,5,5
RX,2019,350 F SPORT,49470,gas,V6,23.0,5,5
RX,2019,350L,49420,gas,V6,21.0,5,7
RX,2019,350L,48020,gas,V6,22.0,5,7
RX,2019,350L Luxury,54435,gas,V6,21.0,5,7
RX,2019,350L Luxury,53035,gas,V6,22.0,5,7
RX,2019,450h,46245,hybrid,V6,30.0,5,5
RX,2019,450h F SPORT,51605,hybrid,V6,30.0,5,5
RX,2019,450hL,50970,hybrid,V6,30.0,5,6
RX,2019,450hL Luxury,54905,hybrid,V6,30.0,5,6
UX,2019,200,32150,gas,I4,33.0,5,5
UX,2019,200 F SPORT,34150,gas,I4,33.0,5,5
UX,2019,200 Luxury,37350,gas,I4,33.0,5,5
UX,2019,200h,34150,hybrid,I4,39.0,5,5
UX,2019,200h F SPORT,36150,hybrid,I4,39.0,5,5
UX,2019,200h Luxury,39350,hybrid,I4,39.0,5,5
GX,2018,460,52155,gas,V8,16.0,5,7
GX,2018,460 Luxury,63530,gas,V8,16.0,5,7
LX,2018,570 Three-Row,90630,gas,V8,15.0,5,8
LX,2018,570 Two-Row,85630,gas,V8,15.0,5,5
NX,2018,300,37385,gas,I4,24.0,5,5
NX,2018,300,35985,gas,I4,25.0,5,5
NX,2018,300 F SPORT,39775,gas,I4,24.0,5,5
NX,2018,300 F SPORT,38375,gas,I4,25.0,5,5
NX,2018,300h,38335,hybrid,I4,31.0,5,5
RX,2018,350,44870,gas,V6,22.0,5,5
RX,2018,350,43470,gas,V6,23.0,5,5
RX,2018,350 F SPORT,49120,gas,V6,23.0,5,5
RX,2018,350 F SPORT,50520,gas,V6,22.0,5,5
RX,2018,350L,47670,gas,V6,22.0,5,7
RX,2018,350L,49070,gas,V6,21.0,5,7
RX,2018,350L Luxury,54085,gas,V6,21.0,5,7
RX,2018,350L Luxury,52685,gas,V6,22.0,5,7
RX,2018,450h,45895,hybrid,V6,30.0,5,5
RX,2018,450h F SPORT,51255,hybrid,V6,30.0,5,5
RX,2018,450hL,50620,hybrid,V6,30.0,5,6
RX,2018,450hL Luxury,54555,hybrid,V6,30.0,5,6
GX,2017,460,51680,gas,V8,16.0,5,7
GX,2017,460 Luxury,63380,gas,V8,16.0,5,7
LX,2017,570,89880,gas,V8,15.0,5,8
NX,2017,200t,35285,gas,I4,25.0,5,5
NX,2017,200t,36685,gas,I4,24.0,5,5
NX,2017,200t F SPORT,37385,gas,I4,25.0,5,5
NX,2017,200t F SPORT,38785,gas,I4,24.0,5,5
NX,2017,300h,39720,hybrid,I4,31.0,5,5
RX,2017,350,43220,gas,V6,23.0,5,5
RX,2017,350,44620,gas,V6,22.0,5,5
RX,2017,350 F SPORT,50520,gas,V6,22.0,5,5
RX,2017,350 F SPORT,49120,gas,V6,23.0,5,5
RX,2017,450h,53035,hybrid,V6,30.0,5,5
RX,2017,450h F SPORT,56495,hybrid,V6,30.0,5,5
GX,2016,460,50780,gas,V8,17.0,5,7
GX,2016,460 Luxury,62155,gas,V8,17.0,5,7
LX,2016,570,88880,gas,V8,15.0,5,8
NX,2016,200t,36365,gas,I4,24.0,5,5
NX,2016,200t,34965,gas,I4,25.0,5,5
NX,2016,200t F SPORT,37065,gas,I4,25.0,5,5
NX,2016,200t F SPORT,38465,gas,I4,24.0,5,5
NX,2016,300h,39720,hybrid,I4,33.0,5,5
NX,2016,300h,41310,hybrid,I4,32.0,5,5
RX,2016,350,43300,gas,V6,22.0,5,5
RX,2016,350,41900,gas,V6,23.0,5,5
RX,2016,350 F SPORT,49125,gas,V6,22.0,5,5
RX,2016,450h,53635,hybrid,V6,30.0,5,5
RX,2016,450h,52235,hybrid,V6,30.0,5,5
RX,2016,450h F SPORT,57045,hybrid,V6,30.0,5,5
GX,2015,460,49485,gas,V8,17.0,5,7
GX,2015,460 Luxury,61115,gas,V8,17.0,5,7
LX,2015,570,83180,gas,V8,14.0,5,8
NX,2015,200t,35880,gas,I4,24.0,5,5
NX,2015,200t,34480,gas,I4,24.0,5,5
NX,2015,200t F SPORT,37980,gas,I4,24.0,5,5
NX,2015,200t F SPORT,36580,gas,I4,24.0,5,5
NX,2015,300h,41310,hybrid,I4,32.0,5,5
NX,2015,300h,39720,hybrid,I4,33.0,5,5
RX,2015,350,40970,gas,V6,21.0,5,5
RX,2015,350,42370,gas,V6,20.0,5,5
RX,2015,350 Crafted Line,50220,gas,V6,21.0,5,5
RX,2015,350 F SPORT,48710,gas,V6,21.0,5,5
RX,2015,450h,49020,hybrid,V6,29.0,5,5
RX,2015,450h,47620,hybrid,V6,30.0,5,5
