Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
ES,2020,300h,41810,hybrid,I4,44.0,4,5
ES,2020,300h Luxury,44665,hybrid,I4,44.0,4,5
ES,2020,300h Ultra Luxury,45660,hybrid,I4,44.0,4,5
ES,2020,350,39900,gas,V6,26.0,4,5
ES,2020,350 F SPORT,44635,gas,V6,25.0,4,5
ES,2020,350 Luxury,42755,gas,V6,26.0,4,5
ES,2020,350 Ultra Luxury,43750,gas,V6,26.0,4,5
GS,2020,350,51065,gas,V6,21.0,4,5
GS,2020,350,51395,gas,V6,23.0,4,5
GS,2020,350 F SPORT,54505,gas,V6,21.0,4,5
GS,2020,350 F SPORT,52760,gas,V6,22.0,4,5
GS,2020,350 F SPORT Black Line,55155,gas,V6,21.0,4,5
GS,2020,350 F SPORT Black Line,53410,gas,V6,22.0,4,5
GS,2020,F,85010,gas,V8,19.0,4,5
IS,2020,300,38560,gas,I4,24.0,4,5
IS,2020,300,41010,gas,V6,21.0,4,5
IS,2020,300 F SPORT,41755,gas,I4,24.0,4,5
IS,2020,300 F SPORT,43805,gas,V6,21.0,4,5
IS,2020,350,42180,gas,V6,23.0,4,5
IS,2020,350,44345,gas,V6,21.0,4,5
IS,2020,350 F SPORT,45375,gas,V6,23.0,4,5
IS,2020,350 F SPORT,46710,gas,V6,21.0,4,5
LS,2020,500,75450,gas,V6,23.0,4,5
LS,2020,500,78670,gas,V6,21.0,4,5
LS,2020,500 F SPORT,81450,gas,V6,23.0,4,5
LS,2020,500 F SPORT,84670,gas,V6,21.0,4,5
LS,2020,500 Inspiration Series,100865,gas,V6,21.0,4,5
LS,2020,500 Inspiration Series,97665,gas,V6,23.0,4,5
LS,2020,500h,80010,hybrid,V6,28.0,4,5
LS,2020,500h,83230,hybrid,V6,26.0,4,5
ES,2019,300h,41560,hybrid,I4,44.0,4,5
ES,2019,300h Luxury,44215,hybrid,I4,44.0,4,5
ES,2019,300h Ultra Luxury,45210,hybrid,I4,44.0,4,5
ES,2019,350,39750,gas,V6,26.0,4,5
ES,2019,350 F SPORT,44285,gas,V6,25.0,4,5
ES,2019,350 Luxury,42405,gas,V6,26.0,4,5
ES,2019,350 Ultra Luxury,43400,gas,V6,26.0,4,5
GS,2019,300,46860,gas,I4,26.0,4,5
GS,2019,300 F SPORT,51450,gas,I4,24.0,4,5
GS,2019,350,51245,gas,V6,23.0,4,5
GS,2019,350,50915,gas,V6,22.0,4,5
GS,2019,350 F SPORT,54355,gas,V6,22.0,4,5
GS,2019,350 F SPORT,52610,gas,V6,22.0,4,5
GS,2019,F,84600,gas,V8,19.0,4,5
IS,2019,300,38560,gas,I4,26.0,4,5
IS,2019,300,41010,gas,V6,21.0,4,5
IS,2019,300 F SPORT,41755,gas,I4,26.0,4,5
IS,2019,300 F SPORT,43805,gas,V6,21.0,4,5
IS,2019,350,42180,gas,V6,23.0,4,5
IS,2019,350,44345,gas,V6,21.0,4,5
IS,2019,350 F SPORT,45375,gas,V6,23.0,4,5
IS,2019,350 F SPORT,46710,gas,V6,21.0,4,5
LS,2019,500,78670,gas,V6,21.0,4,5
LS,2019,500,75450,gas,V6,23.0,4,5
LS,2019,500 F SPORT,84670,gas,V6,21.0,4,5
LS,2019,500 F SPORT,81450,gas,V6,23.0,4,5
LS,2019,500h,79960,hybrid,V6,28.0,4,5
LS,2019,500h,83180,hybrid,V6,26.0,4,5
ES,2018,300h,41820,hybrid,I4,40.0,4,5
ES,2018,350,38950,gas,V6,24.0,4,5
GS,2018,300,46510,gas,I4,26.0,4,5
GS,2018,300 F SPORT,51100,gas,I4,24.0,4,5
GS,2018,350,50565,gas,V6,22.0,4,5
GS,2018,350,50895,gas,V6,23.0,4,5
GS,2018,350 F SPORT,54005,gas,V6,22.0,4,5
GS,2018,350 F SPORT,52260,gas,V6,22.0,4,5
GS,2018,450h,63635,hybrid,V6,31.0,4,5
GS,2018,450h F SPORT,68680,hybrid,V6,31.0,4,5
GS,2018,F,84350,gas,V8,19.0,4,5
IS,2018,300,38210,gas,I4,26.0,4,5
IS,2018,300,40660,gas,V6,22.0,4,5
IS,2018,350,41830,gas,V6,23.0,4,5
IS,2018,350,43995,gas,V6,22.0,4,5
LS,2018,500,78220,gas,V6,21.0,4,5
LS,2018,500,75000,gas,V6,23.0,4,5
LS,2018,500 F SPORT,84220,gas,V6,21.0,4,5
LS,2018,500 F SPORT,81000,gas,V6,23.0,4,5
LS,2018,500h,82730,hybrid,V6,26.0,4,5
LS,2018,500h,79510,hybrid,V6,28.0,4,5
ES,2017,300h,41820,hybrid,I4,40.0,4,5
ES,2017,350,38900,gas,V6,24.0,4,5
GS,2017,200t,46310,gas,I4,26.0,4,5
GS,2017,200t F SPORT,53980,gas,I4,24.0,4,5
GS,2017,350,50365,gas,V6,22.0,4,5
GS,2017,350,50695,gas,V6,23.0,4,5
GS,2017,350 F SPORT,54810,gas,V6,22.0,4,5
GS,2017,350 F SPORT,56555,gas,V6,22.0,4,5
GS,2017,450h,63635,hybrid,V6,31.0,4,5
