Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Countryman,2020,Cooper,28400,gas,I3,29.0,5,5
Countryman,2020,Cooper ALL4,30400,gas,I3,27.0,5,5
Countryman,2020,Cooper S,31900,gas,I4,28.0,5,5
Countryman,2020,Cooper S ALL4,33900,gas,I4,26.0,5,5
Countryman,2020,Cooper S E ALL4,37900,plug-in hybrid,I3,29.0,5,5
Countryman,2020,John Cooper Works ALL4,41400,gas,I4,26.0,5,5
Countryman,2019,Cooper,26900,gas,I3,28.0,5,5
Countryman,2019,Cooper ALL4,28900,gas,I3,26.0,5,5
Countryman,2019,Cooper S,30900,gas,I4,27.0,5,5
Countryman,2019,Cooper S ALL4,31400,gas,I4,24.0,5,5
Countryman,2019,Cooper S E ALL4,36900,plug-in hybrid,I3,27.0,5,5
Countryman,2019,John Cooper Works ALL4,37900,gas,I4,24.0,5,5
Countryman,2018,Cooper,26600,gas,I3,28.0,5,5
Countryman,2018,Cooper ALL4,28600,gas,I3,26.0,5,5
Countryman,2018,Cooper S,31200,gas,I4,27.0,5,5
Countryman,2018,Cooper S ALL4,31700,gas,I4,24.0,5,5
Countryman,2018,Cooper S E ALL4,36800,plug-in hybrid,I3,27.0,5,5
Countryman,2018,John Cooper Works ALL4,37800,gas,I4,24.0,5,5
Countryman,2017,Cooper,26100,gas,I3,28.0,5,5
Countryman,2017,Cooper ALL4,28100,gas,I3,26.0,5,5
Countryman,2017,Cooper S,29100,gas,I4,27.0,5,5
Countryman,2017,Cooper S ALL4,31100,gas,I4,24.0,5,5
Cooper Countryman,2016,Base,22750,gas,I4,30.0,5,5
Cooper Countryman,2016,John Cooper Works ALL4,35350,gas,I4,27.0,5,5
Cooper Countryman,2016,S,26100,gas,I4,29.0,5,5
Cooper Countryman,2016,S ALL4,27850,gas,I4,27.0,5,5
Cooper Countryman,2015,Base,22750,gas,I4,30.0,5,5
Cooper Countryman,2015,John Cooper Works ALL4,35350,gas,I4,27.0,5,5
Cooper Countryman,2015,S,26100,gas,I4,29.0,5,5
Cooper Countryman,2015,S ALL4,27850,gas,I4,27.0,5,5
