Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
GranTurismo Convertible,2019,MC,162880,gas,V8,15.0,2,4
GranTurismo Convertible,2019,Sport,150380,gas,V8,15.0,2,4
GranTurismo Convertible,2018,MC,161220,gas,V8,15.0,2,4
GranTurismo Convertible,2018,Sport,148850,gas,V8,15.0,2,4
GranTurismo Convertible,2017,Base,145740,gas,V8,15.0,2,4
GranTurismo Convertible,2017,MC,161070,gas,V8,15.0,2,4
GranTurismo Convertible,2017,MC Centennial,182009,gas,V8,15.0,2,4
GranTurismo Convertible,2017,Sport,150465,gas,V8,15.0,2,4
GranTurismo Convertible,2016,Base,145740,gas,V8,15.0,2,4
GranTurismo Convertible,2016,MC,161070,gas,V8,15.0,2,4
GranTurismo Convertible,2016,MC Centennial,182009,gas,V8,15.0,2,4
GranTurismo Convertible,2016,Sport,150465,gas,V8,15.0,2,4
GranTurismo Convertible,2015,Base,145740,gas,V8,15.0,2,4
GranTurismo Convertible,2015,MC,161070,gas,V8,15.0,2,4
GranTurismo Convertible,2015,MC Centennial,182009,gas,V8,15.0,2,4
GranTurismo Convertible,2015,Sport,150465,gas,V8,15.0,2,4
