Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
GranTurismo,2018,MC,150220,gas,V8,16.0,2,4
GranTurismo,2018,Sport,132975,gas,V8,16.0,2,4
GranTurismo,2017,MC,150570,gas,V8,16.0,2,4
GranTurismo,2017,MC Centennial,165627,gas,V8,16.0,2,4
GranTurismo,2017,Sport,132825,gas,V8,16.0,2,4
GranTurismo,2016,MC,150570,gas,V8,16.0,2,4
GranTurismo,2016,MC Centennial,165627,gas,V8,16.0,2,4
GranTurismo,2016,Sport,132825,gas,V8,16.0,2,4
GranTurismo,2015,MC,150570,gas,V8,16.0,2,4
GranTurismo,2015,MC Centennial,165627,gas,V8,16.0,2,4
GranTurismo,2015,Sport,132825,gas,V8,16.0,2,4
