Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Levante,2020,Base,77500,gas,V6,17.0,5,5
Levante,2020,GranLusso,84500,gas,V6,17.0,5,5
Levante,2020,GranSport,84500,gas,V6,17.0,5,5
Levante,2020,GTS,122000,gas,V8,15.0,5,5
Levante,2020,S,88000,gas,V6,17.0,5,5
Levante,2020,S GranLusso,94000,gas,V6,17.0,5,5
Levante,2020,S GranSport,94000,gas,V6,17.0,5,5
Levante,2020,Trofeo,171500,gas,V8,15.0,5,5
Levante,2019,Base,75980,gas,V6,17.0,5,5
Levante,2019,GranLusso,81980,gas,V6,17.0,5,5
Levante,2019,GranSport,81980,gas,V6,17.0,5,5
Levante,2019,GTS,119980,gas,V8,15.0,5,5
Levante,2019,S,86980,gas,V6,17.0,5,5
Levante,2019,S GranLusso,91980,gas,V6,17.0,5,5
Levante,2019,S GranSport,91980,gas,V6,17.0,5,5
Levante,2019,Trofeo,169980,gas,V8,15.0,5,5
Levante,2018,Base,74050,gas,V6,16.0,5,5
Levante,2018,GranLusso,80050,gas,V6,16.0,5,5
Levante,2018,GranSport,80050,gas,V6,16.0,5,5
Levante,2018,S,85250,gas,V6,16.0,5,5
Levante,2018,S GranLusso,90750,gas,V6,16.0,5,5
Levante,2018,S GranSport,90750,gas,V6,16.0,5,5
Levante,2017,Base,72000,gas,V6,16.0,5,5
Levante,2017,S,83000,gas,V6,16.0,5,5
