Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
MX-5 Miata,2020,Club,30890,gas,I4,30.0,2,2
MX-5 Miata,2020,Club,30290,gas,I4,29.0,2,2
MX-5 Miata,2020,Grand Touring,31670,gas,I4,29.0,2,2
MX-5 Miata,2020,Grand Touring,32195,gas,I4,30.0,2,2
MX-5 Miata,2020,Sport,27930,gas,I4,30.0,2,2
MX-5 Miata,2020,Sport,26580,gas,I4,29.0,2,2
MX-5 Miata RF,2020,Club,33045,gas,I4,29.0,2,2
MX-5 Miata RF,2020,Club,33645,gas,I4,30.0,2,2
MX-5 Miata RF,2020,Grand Touring,34750,gas,I4,30.0,2,2
MX-5 Miata RF,2020,Grand Touring,34425,gas,I4,29.0,2,2
MX-5 Miata,2019,30th Anniversary,34995,gas,I4,29.0,2,2
MX-5 Miata,2019,30th Anniversary,35495,gas,I4,30.0,2,2
MX-5 Miata,2019,Club,29590,gas,I4,29.0,2,2
MX-5 Miata,2019,Club,30190,gas,I4,30.0,2,2
MX-5 Miata,2019,Grand Touring,30780,gas,I4,29.0,2,2
MX-5 Miata,2019,Grand Touring,31855,gas,I4,30.0,2,2
MX-5 Miata,2019,Sport,25730,gas,I4,29.0,2,2
MX-5 Miata,2019,Sport,27080,gas,I4,30.0,2,2
MX-5 Miata RF,2019,30th Anniversary,37995,gas,I4,30.0,2,2
MX-5 Miata RF,2019,30th Anniversary,37595,gas,I4,29.0,2,2
MX-5 Miata RF,2019,Club,32345,gas,I4,29.0,2,2
MX-5 Miata RF,2019,Club,32945,gas,I4,30.0,2,2
MX-5 Miata RF,2019,Grand Touring,34410,gas,I4,30.0,2,2
MX-5 Miata RF,2019,Grand Touring,33335,gas,I4,29.0,2,2
MX-5 Miata,2018,Club,29155,gas,I4,29.0,2,2
MX-5 Miata,2018,Club,29755,gas,I4,29.0,2,2
MX-5 Miata,2018,Grand Touring,31270,gas,I4,29.0,2,2
MX-5 Miata,2018,Grand Touring,30195,gas,I4,29.0,2,2
MX-5 Miata,2018,Sport,25295,gas,I4,29.0,2,2
MX-5 Miata,2018,Sport,26645,gas,I4,29.0,2,2
MX-5 Miata RF,2018,Club,31910,gas,I4,29.0,2,2
MX-5 Miata RF,2018,Club,32510,gas,I4,29.0,2,2
MX-5 Miata RF,2018,Grand Touring,33825,gas,I4,29.0,2,2
MX-5 Miata RF,2018,Grand Touring,32750,gas,I4,29.0,2,2
MX-5 Miata,2017,Club,29530,gas,I4,29.0,2,2
MX-5 Miata,2017,Club,28800,gas,I4,29.0,2,2
MX-5 Miata,2017,Grand Touring,31270,gas,I4,29.0,2,2
MX-5 Miata,2017,Grand Touring,30065,gas,I4,29.0,2,2
MX-5 Miata,2017,Sport,26395,gas,I4,29.0,2,2
MX-5 Miata,2017,Sport,24915,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Club,32285,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Club,31555,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Grand Touring,32620,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Grand Touring,33825,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Launch Edition,33720,gas,I4,29.0,2,2
MX-5 Miata RF,2017,Launch Edition,34925,gas,I4,29.0,2,2
MX-5 Miata,2016,Club,28600,gas,I4,30.0,2,2
MX-5 Miata,2016,Club,29330,gas,I4,30.0,2,2
MX-5 Miata,2016,Grand Touring,30065,gas,I4,30.0,2,2
MX-5 Miata,2016,Grand Touring,31270,gas,I4,30.0,2,2
MX-5 Miata,2016,Sport,26395,gas,I4,30.0,2,2
MX-5 Miata,2016,Sport,24915,gas,I4,30.0,2,2
MX-5 Miata,2015,25th Anniversary Edition,32655,gas,I4,23.0,2,2
MX-5 Miata,2015,25th Anniversary Edition,32205,gas,I4,24.0,2,2
MX-5 Miata,2015,Club,29265,gas,I4,23.0,2,2
MX-5 Miata,2015,Club,27505,gas,I4,23.0,2,2
MX-5 Miata,2015,Club,26905,gas,I4,24.0,2,2
MX-5 Miata,2015,Club,28665,gas,I4,24.0,2,2
MX-5 Miata,2015,Grand Touring,29450,gas,I4,24.0,2,2
MX-5 Miata,2015,Grand Touring,30550,gas,I4,23.0,2,2
MX-5 Miata,2015,Grand Touring,28650,gas,I4,23.0,2,2
MX-5 Miata,2015,Grand Touring,27550,gas,I4,24.0,2,2
MX-5 Miata,2015,Sport,26230,gas,I4,23.0,2,2
MX-5 Miata,2015,Sport,23970,gas,I4,25.0,2,2
