Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
CX-3,2020,Sport,22040,gas,I4,29.0,5,5
CX-3,2020,Sport,20640,gas,I4,31.0,5,5
CX-30,2020,Base,23300,gas,I4,26.0,5,5
CX-30,2020,Base,21900,gas,I4,28.0,5,5
CX-30,2020,Preferred,27600,gas,I4,26.0,5,5
CX-30,2020,Preferred,26200,gas,I4,28.0,5,5
CX-30,2020,Premium,29600,gas,I4,27.0,5,5
CX-30,2020,Premium,28200,gas,I4,28.0,5,5
CX-30,2020,Select,25300,gas,I4,26.0,5,5
CX-30,2020,Select,23900,gas,I4,28.0,5,5
CX-5,2020,Grand Touring,31710,gas,I4,26.0,5,5
CX-5,2020,Grand Touring,30310,gas,I4,28.0,5,5
CX-5,2020,Grand Touring Reserve,35135,gas,I4,24.0,5,5
CX-5,2020,Signature,37155,gas,I4,24.0,5,5
CX-5,2020,Sport,26590,gas,I4,26.0,5,5
CX-5,2020,Sport,25190,gas,I4,28.0,5,5
CX-5,2020,Touring,28230,gas,I4,26.0,5,5
CX-5,2020,Touring,26830,gas,I4,28.0,5,5
CX-9,2020,Grand Touring,41550,gas,I4,24.0,5,7
CX-9,2020,Grand Touring,43450,gas,I4,23.0,5,7
CX-9,2020,Signature,46215,gas,I4,23.0,5,6
CX-9,2020,Sport,35790,gas,I4,23.0,5,7
CX-9,2020,Sport,33890,gas,I4,24.0,5,7
CX-9,2020,Touring,37610,gas,I4,23.0,5,7
CX-9,2020,Touring,35710,gas,I4,24.0,5,7
CX-3,2019,Grand Touring,25745,gas,I4,31.0,5,5
CX-3,2019,Grand Touring,27145,gas,I4,29.0,5,5
CX-3,2019,Sport,20390,gas,I4,31.0,5,5
CX-3,2019,Sport,21790,gas,I4,29.0,5,5
CX-3,2019,Touring,22475,gas,I4,31.0,5,5
CX-3,2019,Touring,23875,gas,I4,29.0,5,5
CX-5,2019,Grand Touring,30045,gas,I4,28.0,5,5
CX-5,2019,Grand Touring,31445,gas,I4,26.0,5,5
CX-5,2019,Grand Touring Reserve,34870,gas,I4,24.0,5,5
CX-5,2019,Signature,36890,gas,I4,24.0,5,5
CX-5,2019,Signature,41000,diesel,I4,28.0,5,5
CX-5,2019,Sport,25750,gas,I4,26.0,5,5
CX-5,2019,Sport,24350,gas,I4,28.0,5,5
CX-5,2019,Touring,28015,gas,I4,26.0,5,5
CX-5,2019,Touring,26615,gas,I4,28.0,5,5
CX-9,2019,Grand Touring,40840,gas,I4,24.0,5,7
CX-9,2019,Grand Touring,42640,gas,I4,23.0,5,7
CX-9,2019,Signature,45365,gas,I4,23.0,5,7
CX-9,2019,Sport,34080,gas,I4,23.0,5,7
CX-9,2019,Sport,32280,gas,I4,24.0,5,7
CX-9,2019,Touring,37130,gas,I4,23.0,5,7
CX-9,2019,Touring,35330,gas,I4,24.0,5,7
CX-3,2018,Grand Touring,26415,gas,I4,29.0,5,5
CX-3,2018,Grand Touring,25165,gas,I4,31.0,5,5
CX-3,2018,Sport,21360,gas,I4,29.0,5,5
CX-3,2018,Sport,20110,gas,I4,31.0,5,5
CX-3,2018,Touring,23445,gas,I4,29.0,5,5
CX-3,2018,Touring,22195,gas,I4,31.0,5,5
CX-5,2018,Grand Touring,29645,gas,I4,28.0,5,5
CX-5,2018,Grand Touring,30945,gas,I4,26.0,5,5
