Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
570S Spider,2020,Base,208800,gas,V8,18.0,2,2
600LT Spider,2020,Base,256500,gas,V8,18.0,2,2
720S Spider,2020,Base,315000,gas,V8,18.0,2,2
570S Spider,2019,Base,208800,gas,V8,18.0,2,2
720S Spider,2019,Base,315000,gas,V8,18.0,2,2
720S Spider,2019,Luxury,327130,gas,V8,18.0,2,2
720S Spider,2019,Performance,327130,gas,V8,18.0,2,2
570S Spider,2018,Base,208800,gas,V8,18.0,2,2
675LT Spider,2016,Base,372600,gas,V8,,2,2
650S Spider,2015,Base,280225,gas,V8,18.0,2,2
