Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
570S,2020,Base,192500,gas,V8,18.0,2,2
720S,2020,Base,299000,gas,V8,18.0,2,2
GT,2020,Base,215500,gas,V8,18.0,2,2
570GT,2019,Base,202950,gas,V8,18.0,2,2
570S,2019,Base,192500,gas,V8,18.0,2,2
600LT,2019,Base,240000,gas,V8,18.0,2,2
720S,2019,Base,293000,gas,V8,18.0,2,2
720S,2019,Luxury,305130,gas,V8,18.0,2,2
720S,2019,Performance,305130,gas,V8,18.0,2,2
Senna,2019,Base,958966,gas,V8,16.0,2,2
570GT,2018,Base,202950,gas,V8,19.0,2,2
570S,2018,Base,192500,gas,V8,19.0,2,2
720S,2018,Base,284745,gas,V8,18.0,2,2
720S,2018,Luxury,296175,gas,V8,18.0,2,2
720S,2018,Performance,296175,gas,V8,18.0,2,2
570GT,2017,Base,198950,gas,V8,19.0,2,2
570S,2017,Base,188600,gas,V8,19.0,2,2
570S,2016,Base,184900,gas,V8,19.0,2,2
675LT Coupe,2016,Base,349500,gas,V8,18.0,2,2
650S Coupe,2015,Base,265500,gas,V8,18.0,2,2
