Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
AMG GT,2020,Base,127900,gas,V8,18.0,2,2
AMG GT,2020,C,162400,gas,V8,17.0,2,2
AMG GT,2020,R,189750,gas,V8,17.0,2,2
C-Class,2020,AMG C 43,64750,gas,V6,21.0,2,4
C-Class,2020,AMG C 63,77300,gas,V8,20.0,2,4
C-Class,2020,AMG C 63 S,84900,gas,V8,20.0,2,4
C-Class,2020,C 300,53950,gas,I4,24.0,2,4
C-Class,2020,C 300 4MATIC,55950,gas,I4,24.0,2,4
E-Class,2020,AMG E 53,81650,mild hybrid,I6,23.0,2,4
E-Class,2020,E 450,71400,gas,V6,23.0,2,4
E-Class,2020,E 450 4MATIC,73900,gas,V6,22.0,2,4
S-Class,2020,AMG S 63,183500,gas,V8,18.0,2,4
S-Class,2020,S 560,138600,gas,V8,20.0,2,4
SL-Class,2020,SL 450,91000,gas,V6,22.0,2,2
SL-Class,2020,SL 550,114700,gas,V8,20.0,2,2
SLC-Class,2020,AMG SLC 43,64650,gas,V6,23.0,2,2
SLC-Class,2020,SLC 300,49950,gas,I4,27.0,2,2
AMG GT,2019,Base,124700,gas,V8,18.0,2,2
AMG GT,2019,C,158850,gas,V8,17.0,2,2
C-Class,2019,AMG C 43,63650,gas,V6,21.0,2,4
C-Class,2019,AMG C 63,76100,gas,V8,20.0,2,4
C-Class,2019,AMG C 63 S,83800,gas,V8,20.0,2,4
C-Class,2019,C 300,51850,gas,I4,24.0,2,4
C-Class,2019,C 300 4MATIC,53850,gas,I4,24.0,2,4
E-Class,2019,AMG E 53,80350,mild hybrid,I6,23.0,2,4
E-Class,2019,E 450,67300,gas,V6,23.0,2,4
E-Class,2019,E 450 4MATIC,69800,gas,V6,22.0,2,4
S-Class,2019,AMG S 63,180100,gas,V8,18.0,2,4
S-Class,2019,AMG S 65,253550,gas,V12,16.0,2,4
S-Class,2019,S 560,134300,gas,V8,20.0,2,4
SL-Class,2019,AMG SL 63,154450,gas,V8,18.0,2,2
SL-Class,2019,SL 450,89150,gas,V6,23.0,2,2
SL-Class,2019,SL 550,113550,gas,V8,20.0,2,2
SLC-Class,2019,AMG SLC 43,63900,gas,V6,23.0,2,2
SLC-Class,2019,SLC 300,48950,gas,I4,27.0,2,2
AMG GT,2018,Base,124400,gas,V8,18.0,2,2
AMG GT,2018,C,157000,gas,V8,17.0,2,2
C-Class,2018,AMG C 43,60800,gas,V6,22.0,2,4
C-Class,2018,AMG C 63,73500,gas,V8,19.0,2,4
C-Class,2018,AMG C 63 S,81500,gas,V8,19.0,2,4
C-Class,2018,C 300,51200,gas,I4,25.0,2,4
C-Class,2018,C 300 4MATIC,53200,gas,I4,25.0,2,4
E-Class,2018,E 400,66300,gas,V6,22.0,2,4
E-Class,2018,E 400 4MATIC,68800,gas,V6,22.0,2,4
S-Class,2018,AMG S 63,179500,gas,V8,18.0,2,4
S-Class,2018,AMG S 65,250900,gas,V12,16.0,2,4
S-Class,2018,S 560,133300,gas,V8,20.0,2,4
SL-Class,2018,SL 450,88200,gas,V6,23.0,2,2
SL-Class,2018,SL 550,112300,gas,V8,20.0,2,2
SL-Class,2018,SL 63 AMG,152850,gas,V8,19.0,2,2
SL-Class,2018,SL 65 AMG,222000,gas,V12,16.0,2,2
SLC-Class,2018,AMG SLC 43,61350,gas,V6,23.0,2,2
SLC-Class,2018,SLC 300,48400,gas,I4,27.0,2,2
C-Class,2017,AMG C 43,60400,gas,V6,22.0,2,4
C-Class,2017,AMG C 63,72850,gas,V8,19.0,2,4
C-Class,2017,AMG C 63 S,80850,gas,V8,19.0,2,4
C-Class,2017,C 300,50900,gas,I4,26.0,2,4
C-Class,2017,C 300 4MATIC,52900,gas,I4,25.0,2,4
E-Class,2017,E 400,62600,gas,V6,23.0,2,4
E-Class,2017,E 550,69100,gas,V8,20.0,2,4
S-Class,2017,AMG S 63,176400,gas,V8,17.0,2,4
S-Class,2017,AMG S 65,247900,gas,V12,16.0,2,4
