Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
AMG GT,2020,Base,115900,gas,V8,18.0,2,2
AMG GT,2020,C,150900,gas,V8,17.0,2,2
AMG GT,2020,R,162900,gas,V8,17.0,2,2
C-Class,2020,AMG C 43,58500,gas,V6,22.0,2,4
C-Class,2020,AMG C 63,69900,gas,V8,20.0,2,4
C-Class,2020,AMG C 63 S,77500,gas,V8,20.0,2,4
C-Class,2020,C 300,45950,gas,I4,25.0,2,4
C-Class,2020,C 300 4MATIC,47950,gas,I4,25.0,2,4
E-Class,2020,AMG E 53,74950,mild hybrid,I6,23.0,2,4
E-Class,2020,E 450,64350,gas,V6,23.0,2,4
E-Class,2020,E 450 4MATIC,66850,gas,V6,22.0,2,4
S-Class,2020,AMG S 63,171400,gas,V8,20.0,2,4
S-Class,2020,S 560 4MATIC,130150,gas,V8,20.0,2,4
AMG GT,2019,Base,112700,gas,V8,18.0,2,2
AMG GT,2019,C,147300,gas,V8,17.0,2,2
AMG GT,2019,R,159350,gas,V8,17.0,2,2
AMG GT,2019,S,132700,gas,V8,18.0,2,2
C-Class,2019,AMG C 43,57450,gas,V6,22.0,2,4
C-Class,2019,AMG C 63,68750,gas,V8,20.0,2,4
C-Class,2019,AMG C 63 S,76450,gas,V8,20.0,2,4
C-Class,2019,C 300,43800,gas,I4,25.0,2,4
C-Class,2019,C 300 4MATIC,45800,gas,I4,25.0,2,4
E-Class,2019,AMG E 53,73700,mild hybrid,I6,23.0,2,4
E-Class,2019,E 450,59800,gas,V6,23.0,2,4
E-Class,2019,E 450 4MATIC,62300,gas,V6,22.0,2,4
S-Class,2019,AMG S 63,169450,gas,V8,20.0,2,4
S-Class,2019,AMG S 65,241450,gas,V12,16.0,2,4
S-Class,2019,S 560 4MATIC,125950,gas,V8,20.0,2,4
AMG GT,2018,Base,112400,gas,V8,18.0,2,2
AMG GT,2018,C,145000,gas,V8,17.0,2,2
AMG GT,2018,R,157000,gas,V8,17.0,2,2
AMG GT,2018,S,132400,gas,V8,18.0,2,2
C-Class,2018,AMG C 43,55900,gas,V6,22.0,2,4
C-Class,2018,AMG C 63,67500,gas,V8,19.0,2,4
C-Class,2018,AMG C 63 S,75500,gas,V8,19.0,2,4
C-Class,2018,C 300,43200,gas,I4,25.0,2,4
C-Class,2018,C 300 4MATIC,45200,gas,I4,25.0,2,4
E-Class,2018,E 400,58900,gas,V6,22.0,2,4
E-Class,2018,E 400 4MATIC,61400,gas,V6,22.0,2,4
S-Class,2018,AMG S 63,167700,gas,V8,20.0,2,4
S-Class,2018,AMG S 65,238900,gas,V12,16.0,2,4
S-Class,2018,S 560 4MATIC,124500,gas,V8,21.0,2,4
AMG GT,2017,Base,111200,gas,V8,18.0,2,2
AMG GT,2017,S,131200,gas,V8,18.0,2,2
C-Class,2017,AMG C 43,55500,gas,V6,23.0,2,4
C-Class,2017,AMG C 63,67000,gas,V8,19.0,2,4
C-Class,2017,AMG C 63 S,75000,gas,V8,19.0,2,4
C-Class,2017,C 300,42650,gas,I4,26.0,2,4
C-Class,2017,C 300 4MATIC,44650,gas,I4,27.0,2,4
E-Class,2017,E 400,54550,gas,V6,23.0,2,4
E-Class,2017,E 400 4MATIC,57050,gas,V6,23.0,2,4
E-Class,2017,E 550,60650,gas,V8,21.0,2,4
S-Class,2017,AMG S 63 4MATIC,164750,gas,V8,18.0,2,4
S-Class,2017,AMG S 65,236250,gas,V12,16.0,2,4
S-Class,2017,S 550 4MATIC,122750,gas,V8,20.0,2,4
AMG GT,2016,S,129900,gas,V8,18.0,2,2
E-Class,2016,E 400,54200,gas,V6,24.0,2,4
E-Class,2016,E 400 4MATIC,56700,gas,V6,23.0,2,4
E-Class,2016,E 550,60300,gas,V8,21.0,2,4
S-Class,2016,S 550 4MATIC,121550,gas,V8,19.0,2,4
S-Class,2016,S 63 AMG 4MATIC,163150,gas,V8,18.0,2,4
S-Class,2016,S 65 AMG,234050,gas,V12,15.0,2,4
C-Class,2015,C 250,39400,gas,I4,25.0,2,4
C-Class,2015,C 350,44050,gas,V6,23.0,2,4
C-Class,2015,C 350 4MATIC,46050,gas,V6,22.0,2,4
C-Class,2015,C 63 AMG,62950,gas,V8,15.0,2,4
E-Class,2015,E 400,53350,gas,V6,24.0,2,4
E-Class,2015,E 400 4MATIC,55850,gas,V6,23.0,2,4
E-Class,2015,E 550,59400,gas,V8,21.0,2,4
S-Class,2015,S 550 4MATIC,119900,gas,V8,19.0,2,4
S-Class,2015,S 63 AMG 4MATIC,160900,gas,V8,18.0,2,4
S-Class,2015,S 65 AMG,230900,gas,V12,15.0,2,4
SLS AMG GT Final Edition,2015,Base,221580,gas,V8,15.0,2,2
