Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Sprinter,2020,"2500 170"" WB Cargo",55775,diesel,V6,,4,2
Sprinter,2020,"2500 170"" WB Cargo",47800,diesel,V6,,4,2
Sprinter,2020,"3500 170"" WB Cargo",50150,diesel,V6,,4,2
Sprinter,2020,"3500XD 170"" WB Cargo",52500,diesel,V6,,4,2
Sprinter,2020,"3500XD 170"" WB Cargo",60475,diesel,V6,,4,2
Sprinter,2020,"4500 170"" WB Cargo",54550,diesel,V6,,4,2
Sprinter,2019,"2500 170"" WB Cargo",46790,diesel,V6,,4,2
Sprinter,2019,"2500 170"" WB Cargo",54590,diesel,V6,,4,2
Sprinter,2019,"3500 170"" WB Cargo",49090,diesel,V6,,4,2
Sprinter,2019,"3500XD 170"" WB Cargo",51390,diesel,V6,,4,2
Sprinter,2019,"3500XD 170"" WB Cargo",59190,diesel,V6,,4,2
Sprinter,2019,"4500 170"" WB Cargo",53390,diesel,V6,,4,2
Sprinter,2018,"2500 170"" WB Cargo",44910,diesel,V6,,4,2
Sprinter,2018,"2500 170"" WB Cargo",52480,diesel,V6,,4,2
Sprinter,2018,"3500 170"" WB Cargo",47140,diesel,V6,,4,2
Sprinter,2018,"3500 XD 170"" WB Cargo",49160,diesel,V6,,4,2
Sprinter,2018,"3500 XD 170"" WB Cargo",56730,diesel,V6,,4,2
Sprinter,2017,"2500 170"" WB Cargo",51890,diesel,V6,,4,2
Sprinter,2017,"2500 170"" WB Cargo",44395,diesel,V6,,4,2
Sprinter,2017,"2500 170"" WB Cargo",42895,diesel,I4,,4,2
Sprinter,2017,"3500 170"" WB Cargo",45095,diesel,I4,,4,2
Sprinter,2017,"3500 170"" WB Cargo",46595,diesel,V6,,4,2
Sprinter,2017,"3500 XD 170"" WB Cargo",48595,diesel,V6,,4,2
Sprinter,2017,"3500 XD 170"" WB Cargo",47095,diesel,I4,,4,2
Sprinter,2017,"3500 XD 170"" WB Cargo",56090,diesel,V6,,4,2
Sprinter,2016,2500 170 WB Cargo,44000,diesel,I4,,4,2
Sprinter,2016,3500 170 WB Cargo,45385,diesel,I4,,4,2
Sprinter,2015,2500 170 WB Cargo,43200,diesel,I4,,4,2
Sprinter,2015,3500 170 WB Cargo,44485,diesel,I4,,4,2
