Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Metris,2020,"126"" WB Cargo",31390,gas,I4,22.0,4,2
Metris,2020,"135"" WB Cargo",31910,gas,I4,22.0,4,2
Metris,2020,Passenger,33580,gas,I4,21.0,5,7
Metris,2020,Worker Cargo,27180,gas,I4,22.0,4,2
Metris,2020,Worker Passenger,31350,gas,I4,21.0,5,7
Metris,2019,"126"" WB Cargo",30700,gas,I4,22.0,4,2
Metris,2019,"135"" WB Cargo",31200,gas,I4,22.0,4,2
Metris,2019,Passenger,34800,gas,I4,21.0,5,7
Metris,2019,Worker Cargo,26570,gas,I4,22.0,4,2
Metris,2019,Worker Passenger,30650,gas,I4,21.0,5,7
Metris,2018,"126"" WB Cargo",29950,gas,I4,22.0,4,2
Metris,2018,"135"" WB Cargo",30450,gas,I4,22.0,4,2
Metris,2018,Passenger,33900,gas,I4,22.0,5,7
Metris,2018,Worker Cargo,25995,gas,I4,22.0,4,2
Metris,2018,Worker Passenger,29995,gas,I4,22.0,5,7
Metris,2017,Cargo,28950,gas,I4,22.0,4,2
Metris,2017,Passenger,32900,gas,I4,22.0,5,7
Metris,2017,Worker Cargo,25995,gas,I4,22.0,4,2
Metris,2017,Worker Passenger,29995,gas,I4,22.0,5,7
Metris,2016,Cargo,28950,gas,I4,22.0,4,2
Metris,2016,Passenger,32500,gas,I4,22.0,5,7
