Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
G-Class,2020,AMG G 63,156450,gas,V8,14.0,5,5
G-Class,2020,G 550,130900,gas,V8,14.0,5,5
GLA-Class,2020,GLA 250,34250,gas,I4,28.0,5,5
GLA-Class,2020,GLA 250 4MATIC,36250,gas,I4,25.0,5,5
GLB-Class,2020,GLB 250,36600,gas,I4,26.0,5,5
GLB-Class,2020,GLB 250 4MATIC,38600,gas,I4,26.0,5,5
GLC-Class,2020,AMG GLC 43,59500,gas,V6,21.0,5,5
GLC-Class,2020,AMG GLC 63,73750,gas,V8,18.0,5,5
GLC-Class,2020,GLC 300,42500,gas,I4,24.0,5,5
GLC-Class,2020,GLC 300 4MATIC,44500,gas,I4,24.0,5,5
GLC-Class,2020,GLC 350e 4MATIC,51900,plug-in hybrid,I4,25.0,5,5
GLC-Class Coupe,2020,AMG GLC 43,63000,gas,V6,21.0,5,5
GLC-Class Coupe,2020,AMG GLC 63,76500,gas,V8,18.0,5,5
GLC-Class Coupe,2020,AMG GLC 63 S,84100,gas,V8,18.0,5,5
GLC-Class Coupe,2020,GLC 300 4MATIC,50000,gas,I4,24.0,5,5
GLE-Class,2020,GLE 350,53700,gas,I4,22.0,5,5
GLE-Class,2020,GLE 350 4MATIC,56200,gas,I4,22.0,5,5
GLE-Class,2020,GLE 450 4MATIC,61150,mild hybrid,I6,21.0,5,5
GLE-Class,2020,GLE 580 4MATIC,77600,mild hybrid,V8,19.0,5,5
GLS-Class,2020,GLS 450 4MATIC,75200,mild hybrid,I6,21.0,5,7
GLS-Class,2020,GLS 580 4MATIC,97800,mild hybrid,V8,18.0,5,7
G-Class,2019,AMG G 63,147500,gas,V8,14.0,5,5
G-Class,2019,G 550,124500,gas,V8,14.0,5,5
GLA-Class,2019,AMG GLA 45,53350,gas,I4,25.0,5,5
GLA-Class,2019,GLA 250,33950,gas,I4,27.0,5,5
GLA-Class,2019,GLA 250 4MATIC,35950,gas,I4,26.0,5,5
GLC-Class,2019,AMG GLC 43,57000,gas,V6,21.0,5,5
GLC-Class,2019,AMG GLC 63,70800,gas,V8,18.0,5,5
GLC-Class,2019,GLC 300,40700,gas,I4,24.0,5,5
GLC-Class,2019,GLC 300 4MATIC,42700,gas,I4,24.0,5,5
GLC-Class,2019,GLC 350e 4MATIC,50650,plug-in hybrid,I4,25.0,5,5
GLC-Class Coupe,2019,AMG GLC 43,61200,gas,V6,21.0,5,5
GLC-Class Coupe,2019,AMG GLC 63,74100,gas,V8,18.0,5,5
GLC-Class Coupe,2019,AMG GLC 63 S,81800,gas,V8,18.0,5,5
GLC-Class Coupe,2019,GLC 300 4MATIC,47300,gas,I4,23.0,5,5
GLE-Class,2019,AMG GLE 43,68150,gas,V6,19.0,5,5
GLE-Class,2019,AMG GLE 63,103050,gas,V8,14.0,5,5
GLE-Class,2019,AMG GLE 63 S,110200,gas,V8,15.0,5,5
GLE-Class,2019,GLE 400 4MATIC,55700,gas,V6,20.0,5,5
GLE-Class Coupe,2019,AMG GLE 43,71350,gas,V6,19.0,5,5
GLE-Class Coupe,2019,AMG GLE 63 S,113000,gas,V8,15.0,5,5
GLS-Class,2019,AMG GLS 63,126150,gas,V8,15.0,5,7
GLS-Class,2019,GLS 450 4MATIC,70150,gas,V6,18.0,5,7
GLS-Class,2019,GLS 550 4MATIC,95750,gas,V8,16.0,5,7
G-Class,2018,AMG G 63,142800,gas,V8,13.0,5,5
G-Class,2018,AMG G 65,222700,gas,V12,12.0,5,5
G-Class,2018,G 550,123600,gas,V8,13.0,5,5
G-Class,2018,G 550 4x4 Squared,227300,gas,V8,11.0,5,5
GLA-Class,2018,AMG GLA 45 4MATIC,50600,gas,I4,25.0,5,5
GLA-Class,2018,GLA 250,33400,gas,I4,27.0,5,5
GLA-Class,2018,GLA 250 4MATIC,35400,gas,I4,26.0,5,5
GLC-Class,2018,AMG GLC 43,56250,gas,V6,20.0,5,5
GLC-Class,2018,AMG GLC 63,69900,gas,V8,18.0,5,5
GLC-Class,2018,GLC 300,40050,gas,I4,24.0,5,5
GLC-Class,2018,GLC 300 4MATIC,42050,gas,I4,24.0,5,5
GLC-Class,2018,GLC 350e 4MATIC,49990,plug-in hybrid,I4,25.0,5,5
GLC-Class Coupe,2018,AMG GLC 43,60400,gas,V6,20.0,5,5
GLC-Class Coupe,2018,AMG GLC 63,73150,gas,V8,18.0,5,5
GLC-Class Coupe,2018,AMG GLC 63 S,80750,gas,V8,18.0,5,5
GLC-Class Coupe,2018,GLC 300 4MATIC,46600,gas,I4,24.0,5,5
GLE-Class,2018,AMG GLE 43 4MATIC,67750,gas,V6,19.0,5,5
GLE-Class,2018,AMG GLE 63 4MATIC,102550,gas,V8,15.0,5,5
GLE-Class,2018,AMG GLE 63 S 4MATIC,109700,gas,V8,15.0,5,5
GLE-Class,2018,GLE 350,52200,gas,V6,20.0,5,5
GLE-Class,2018,GLE 350 4MATIC,54700,gas,V6,19.0,5,5
GLE-Class,2018,GLE 550e 4MATIC,66700,plug-in hybrid,V6,21.0,5,5
GLE-Class Coupe,2018,AMG GLE 43 4MATIC,70500,gas,V6,19.0,5,5
GLE-Class Coupe,2018,AMG GLE 63 S 4MATIC,111860,gas,V8,15.0,5,5
GLS-Class,2018,GLS 450 4MATIC,69550,gas,V6,19.0,5,7
GLS-Class,2018,GLS 550 4MATIC,94950,gas,V8,16.0,5,7
GLS-Class,2018,GLS 63 AMG,125300,gas,V8,15.0,5,7
G-Class,2017,AMG G 63,141400,gas,V8,13.0,5,5
G-Class,2017,AMG G 65,220400,gas,V12,12.0,5,5
G-Class,2017,G 550,122400,gas,V8,13.0,5,5
G-Class,2017,G 550 4x4 Squared,225000,gas,V8,11.0,5,5
GLA-Class,2017,AMG GLA 45 4MATIC,49900,gas,I4,25.0,5,5
GLA-Class,2017,GLA 250,32850,gas,I4,27.0,5,5
GLA-Class,2017,GLA 250 4MATIC,34850,gas,I4,26.0,5,5
GLC-Class,2017,AMG GLC 43,54900,gas,V6,20.0,5,5
GLC-Class,2017,GLC 300,39150,gas,I4,24.0,5,5
GLC-Class,2017,GLC 300 4MATIC,41150,gas,I4,24.0,5,5
GLC-Class Coupe,2017,AMG GLC 43,59650,gas,V6,20.0,5,5
GLC-Class Coupe,2017,GLC 300 4MATIC,45950,gas,I4,24.0,5,5
GLE-Class,2017,AMG GLE 43 4MATIC,67150,gas,V6,20.0,5,5
GLE-Class,2017,AMG GLE 63 4MATIC,101690,gas,V8,15.0,5,5
GLE-Class,2017,AMG GLE 63 S 4MATIC,108840,gas,V8,15.0,5,5
GLE-Class,2017,GLE 350,52000,gas,V6,20.0,5,5
GLE-Class,2017,GLE 350 4MATIC,54500,gas,V6,19.0,5,5
GLE-Class,2017,GLE 400 4MATIC,65650,gas,V6,20.0,5,5
GLE-Class,2017,GLE 550e 4MATIC,66300,plug-in hybrid,V6,21.0,5,5
GLE-Class Coupe,2017,AMG GLE 43 4MATIC,69650,gas,V6,20.0,5,5
GLE-Class Coupe,2017,AMG GLE 63 S 4MATIC,110650,gas,V8,15.0,5,5
GLS-Class,2017,GLS 450 4MATIC,68700,gas,V6,19.0,5,7
GLS-Class,2017,GLS 550 4MATIC,93850,gas,V8,16.0,5,7
GLS-Class,2017,GLS 63 AMG,124100,gas,V8,14.0,5,7
G-Class,2016,AMG G 63,139900,gas,V8,13.0,5,5
G-Class,2016,AMG G 65,217900,gas,V12,12.0,5,5
G-Class,2016,G 550,119900,gas,V8,13.0,5,5
GL-Class,2016,GL 350 BlueTEC 4MATIC,63600,diesel,V6,22.0,5,7
GL-Class,2016,GL 450 4MATIC,65200,gas,V6,19.0,5,7
GL-Class,2016,GL 550 4MATIC,89950,gas,V8,15.0,5,7
GL-Class,2016,GL 63 AMG,119450,gas,V8,14.0,5,7
GLA-Class,2016,AMG GLA 45 4MATIC,49580,gas,I4,25.0,5,5
GLA-Class,2016,GLA 250,32500,gas,I4,29.0,5,5
GLA-Class,2016,GLA 250 4MATIC,34500,gas,I4,27.0,5,5
GLC-Class,2016,GLC 300,38950,gas,I4,24.0,5,5
GLC-Class,2016,GLC 300 4MATIC,40950,gas,I4,24.0,5,5
GLE-Class,2016,AMG GLE 63 4MATIC,99950,gas,V8,15.0,5,5
GLE-Class,2016,AMG GLE 63 S 4MATIC,107100,gas,V8,15.0,5,5
GLE-Class,2016,GLE 300d 4MATIC,52500,diesel,I4,24.0,5,5
GLE-Class,2016,GLE 350,51100,gas,V6,20.0,5,5
GLE-Class,2016,GLE 350 4MATIC,53600,gas,V6,19.0,5,5
GLE-Class,2016,GLE 400 4MATIC,64600,gas,V6,20.0,5,5
GLE-Class,2016,GLE 550e 4MATIC,65550,plug-in hybrid,V6,21.0,5,5
GLE-Class Coupe,2016,AMG GLE 63 S 4MATIC,109300,gas,V8,15.0,5,5
GLE-Class Coupe,2016,GLE 450 AMG 4MATIC,65100,gas,V6,20.0,5,5
G-Class,2015,G 550,115400,gas,V8,13.0,5,5
G-Class,2015,G 63 AMG,137100,gas,V8,13.0,5,5
GL-Class,2015,GL 350 BlueTEC 4MATIC,63600,diesel,V6,22.0,5,7
GL-Class,2015,GL 450 4MATIC,65200,gas,V6,19.0,5,7
GL-Class,2015,GL 550 4MATIC,89950,gas,V8,15.0,5,7
GL-Class,2015,GL 63 AMG,119450,gas,V8,14.0,5,7
GLA-Class,2015,GLA 250,31300,gas,I4,29.0,5,5
GLA-Class,2015,GLA 250 4MATIC,33300,gas,I4,27.0,5,5
GLA-Class,2015,GLA 45 AMG 4MATIC,48300,gas,I4,25.0,5,5
GLK-Class,2015,GLK 250 BlueTEC 4MATIC,39400,diesel,I4,28.0,5,5
GLK-Class,2015,GLK 350,37900,gas,V6,21.0,5,5
GLK-Class,2015,GLK 350 4MATIC,39900,gas,V6,21.0,5,5
M-Class,2015,ML 250 BlueTEC 4MATIC,49800,diesel,I4,25.0,5,5
M-Class,2015,ML 350,48300,gas,V6,20.0,5,5
M-Class,2015,ML 350 4MATIC,50800,gas,V6,19.0,5,5
M-Class,2015,ML 400 4MATIC,62900,gas,V6,20.0,5,5
M-Class,2015,ML 63 AMG,98400,gas,V8,15.0,5,5
