Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
A-Class,2020,A 220,32800,gas,I4,28.0,4,5
A-Class,2020,A 220 4MATIC,34800,gas,I4,28.0,4,5
A-Class,2020,AMG A 35,44950,gas,I4,27.0,4,5
AMG GT,2020,53,99950,mild hybrid,I6,21.0,4,4
AMG GT,2020,63,140250,gas,V8,17.0,4,4
AMG GT,2020,63 S,161200,gas,V8,17.0,4,4
C-Class,2020,AMG C 43,55950,gas,V6,22.0,4,5
C-Class,2020,AMG C 63,68100,gas,V8,21.0,4,5
C-Class,2020,AMG C 63 S,75700,gas,V8,21.0,4,5
C-Class,2020,C 300,41400,gas,I4,28.0,4,5
C-Class,2020,C 300 4MATIC,43400,gas,I4,26.0,4,5
CLA-Class,2020,AMG CLA 35,46900,gas,I4,25.0,4,5
CLA-Class,2020,AMG CLA 45,54800,gas,I4,23.0,4,5
CLA-Class,2020,CLA 250,36650,gas,I4,28.0,4,5
CLA-Class,2020,CLA 250 4MATIC,38650,gas,I4,27.0,4,5
CLS-Class,2020,AMG CLS 53,81200,mild hybrid,I6,23.0,4,5
CLS-Class,2020,CLS 450,69950,mild hybrid,I6,26.0,4,5
CLS-Class,2020,CLS 450 4MATIC,72450,mild hybrid,I6,26.0,4,5
E-Class,2020,AMG E 53,73800,mild hybrid,I6,24.0,4,5
E-Class,2020,AMG E 63 S,107350,gas,V8,18.0,4,5
E-Class,2020,E 350,54050,gas,I4,26.0,4,5
E-Class,2020,E 350 4MATIC,56550,gas,I4,25.0,4,5
E-Class,2020,E 450 4MATIC,61550,gas,V6,23.0,4,5
Maybach,2020,S 560 4MATIC,173000,gas,V8,19.0,4,5
Maybach,2020,S 650,202550,gas,V12,16.0,4,5
S-Class,2020,AMG S 63,151600,gas,V8,20.0,4,5
S-Class,2020,AMG S 65,235600,gas,V12,16.0,4,5
S-Class,2020,S 450,94250,gas,V6,22.0,4,5
S-Class,2020,S 450 4MATIC,97250,gas,V6,22.0,4,5
S-Class,2020,S 560,104450,gas,V8,21.0,4,5
S-Class,2020,S 560 4MATIC,107450,gas,V8,21.0,4,5
S-Class,2020,S 560e,109750,plug-in hybrid,V6,23.0,4,5
A-Class,2019,A 220,32500,gas,I4,28.0,4,5
A-Class,2019,A 220 4MATIC,34500,gas,I4,28.0,4,5
AMG GT,2019,53,99000,mild hybrid,I6,21.0,4,4
AMG GT,2019,63,136500,gas,V8,17.0,4,4
AMG GT,2019,63 S,159000,gas,V8,17.0,4,4
C-Class,2019,AMG C 43,55250,gas,V6,22.0,4,5
C-Class,2019,AMG C 63,67000,gas,V8,21.0,4,5
C-Class,2019,AMG C 63 S,74600,gas,V8,21.0,4,5
C-Class,2019,C 300,41400,gas,I4,27.0,4,5
C-Class,2019,C 300 4MATIC,43400,gas,I4,26.0,4,5
CLA-Class,2019,AMG CLA 45,53100,gas,I4,26.0,4,5
CLA-Class,2019,CLA 250,33100,gas,I4,29.0,4,5
CLA-Class,2019,CLA 250 4MATIC,35100,gas,I4,27.0,4,5
CLS-Class,2019,AMG CLS 53,79900,mild hybrid,I6,23.0,4,5
CLS-Class,2019,CLS 450,69200,mild hybrid,I6,26.0,4,5
