Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Sprinter,2020,"1500 144"" WB Cargo",34495,gas,I4,,4,2
Sprinter,2020,"1500 144"" WB Passenger",41095,gas,I4,,4,12
Sprinter,2020,"2500 144"" WB Cargo",40620,diesel,V6,,4,2
Sprinter,2020,"2500 144"" WB Cargo",35720,gas,I4,,4,2
Sprinter,2020,"2500 144"" WB Cargo",48595,diesel,V6,,4,2
Sprinter,2020,"2500 144"" WB Crew",52270,diesel,V6,,4,5
Sprinter,2020,"2500 144"" WB Crew",39395,gas,I4,,4,5
Sprinter,2020,"2500 144"" WB Crew",44295,diesel,V6,,4,5
Sprinter,2020,"2500 144"" WB Passenger",42320,gas,I4,,4,12
Sprinter,2020,"2500 144"" WB Passenger",47220,diesel,V6,,4,12
Sprinter,2020,"2500 144"" WB Passenger",55195,diesel,V6,,4,12
Sprinter,2020,"2500 170"" WB Cargo",41050,gas,I4,,4,2
Sprinter,2020,"2500 170"" WB Cargo",53925,diesel,V6,,4,2
Sprinter,2020,"2500 170"" WB Cargo",45950,diesel,V6,,4,2
Sprinter,2020,"2500 170"" WB Crew",45245,gas,I4,,4,5
Sprinter,2020,"2500 170"" WB Crew",58120,diesel,V6,,4,5
Sprinter,2020,"2500 170"" WB Crew",50145,diesel,V6,,4,5
Sprinter,2020,"2500 170"" WB Passenger",54700,diesel,V6,,4,15
Sprinter,2020,"2500 170"" WB Passenger",49800,gas,I4,,4,15
Sprinter,2020,"3500 144"" WB Cargo",45745,diesel,V6,,4,2
Sprinter,2020,"3500 144"" WB Crew",46645,diesel,V6,,4,5
Sprinter,2020,"3500 170"" WB Cargo",48300,diesel,V6,,4,2
Sprinter,2020,"3500 170"" WB Crew",52495,diesel,V6,,4,5
Sprinter,2020,"3500XD 144"" WB Cargo",53295,diesel,V6,,4,2
Sprinter,2020,"3500XD 144"" WB Cargo",45320,diesel,V6,,4,2
Sprinter,2020,"3500XD 144"" WB Crew",48995,diesel,V6,,4,5
Sprinter,2020,"3500XD 144"" WB Crew",56970,diesel,V6,,4,5
Sprinter,2020,"3500XD 170"" WB Cargo",58625,diesel,V6,,4,2
Sprinter,2020,"3500XD 170"" WB Cargo",50650,diesel,V6,,4,2
Sprinter,2020,"3500XD 170"" WB Crew",54845,diesel,V6,,4,5
Sprinter,2020,"3500XD 170"" WB Crew",62820,diesel,V6,,4,5
Sprinter,2020,"4500 144"" WB Cargo",47370,diesel,V6,,4,2
Sprinter,2020,"4500 144"" WB Crew",51045,diesel,V6,,4,5
Sprinter,2020,"4500 170"" WB Cargo",52700,diesel,V6,,4,2
Sprinter,2020,"4500 170"" WB Crew",56895,diesel,V6,,4,5
Sprinter,2019,"1500 144"" WB Cargo",33790,gas,I4,,4,2
Sprinter,2019,"1500 144"" WB Passenger",42990,gas,I4,,4,12
Sprinter,2019,"2500 144"" WB Cargo",47590,diesel,V6,,4,2
Sprinter,2019,"2500 144"" WB Cargo",34990,gas,I4,,4,2
Sprinter,2019,"2500 144"" WB Cargo",39790,diesel,V6,,4,2
Sprinter,2019,"2500 144"" WB Crew",41290,gas,I4,,4,5
Sprinter,2019,"2500 144"" WB Crew",46090,diesel,V6,,4,5
Sprinter,2019,"2500 144"" WB Crew",53890,diesel,V6,,4,5
Sprinter,2019,"2500 144"" WB Passenger",48990,diesel,V6,,4,12
Sprinter,2019,"2500 144"" WB Passenger",56790,diesel,V6,,4,12
Sprinter,2019,"2500 144"" WB Passenger",44190,gas,I4,,4,12
Sprinter,2019,"2500 170"" WB Cargo",52790,diesel,V6,,4,2
Sprinter,2019,"2500 170"" WB Cargo",40190,gas,I4,,4,2
Sprinter,2019,"2500 170"" WB Cargo",44990,diesel,V6,,4,2
Sprinter,2019,"2500 170"" WB Crew",44290,gas,I4,,4,5
Sprinter,2019,"2500 170"" WB Crew",49090,diesel,V6,,4,5
Sprinter,2019,"2500 170"" WB Crew",56890,diesel,V6,,4,5
Sprinter,2019,"2500 170"" WB Passenger",48790,gas,I4,,4,15
Sprinter,2019,"2500 170"" WB Passenger",53590,diesel,V6,,4,15
Sprinter,2019,"3500 144"" WB Cargo",44790,diesel,V6,,4,2
Sprinter,2019,"3500 144"" WB Crew",48390,diesel,V6,,4,5
Sprinter,2019,"3500 170"" WB Cargo",47290,diesel,V6,,4,2
