Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
E-Class,2020,AMG E 63 S,111750,gas,V8,19.0,5,5
E-Class,2020,E 450 AMG Line 4MATIC,66600,gas,V6,22.0,5,7
E-Class,2020,E 450 Luxury 4MATIC,66950,gas,V6,22.0,5,7
E-Class,2020,E 450 Sport 4MATIC,66100,gas,V6,22.0,5,7
E-Class,2019,AMG E 63 S,108850,gas,V8,19.0,5,7
E-Class,2019,E 450 AMG Line 4MATIC,64700,gas,V6,22.0,5,7
E-Class,2019,E 450 Luxury 4MATIC,64700,gas,V6,22.0,5,7
E-Class,2019,E 450 Sport 4MATIC,64200,gas,V6,22.0,5,7
E-Class,2018,AMG E 63 S 4MATIC,106950,gas,V8,18.0,5,5
E-Class,2018,E 400 AMG Line 4MATIC,63550,gas,V6,21.0,5,7
E-Class,2018,E 400 Luxury 4MATIC,63050,gas,V6,21.0,5,7
E-Class,2018,E 400 Sport 4MATIC,63050,gas,V6,21.0,5,7
E-Class,2017,E 400 Luxury 4MATIC,62300,gas,V6,21.0,5,7
E-Class,2017,E 400 Sport 4MATIC,62300,gas,V6,21.0,5,7
E-Class,2016,AMG E 63 4MATIC S-Model,104300,gas,V8,18.0,5,5
E-Class,2016,E 350 Luxury 4MATIC,59900,gas,V6,22.0,5,7
E-Class,2016,E 350 Sport 4MATIC,59900,gas,V6,22.0,5,7
E-Class,2015,E 350 Luxury 4MATIC,59000,gas,V6,22.0,5,7
E-Class,2015,E 350 Sport 4MATIC,59000,gas,V6,22.0,5,7
E-Class,2015,E 63 AMG 4MATIC S-Model,103200,gas,V8,18.0,5,5
