Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Mirage G4,2020,ES,16295,gas,I3,37.0,4,5
Mirage G4,2020,ES,14995,gas,I3,35.0,4,5
Mirage G4,2020,LE,17195,gas,I3,37.0,4,5
Mirage G4,2020,SE,17745,gas,I3,37.0,4,5
Mirage G4,2019,ES,15995,gas,I3,37.0,4,5
Mirage G4,2019,ES,14795,gas,I3,35.0,4,5
Mirage G4,2019,RF,16490,gas,I3,37.0,4,5
Mirage G4,2019,SE,17495,gas,I3,37.0,4,5
Mirage G4,2018,ES,14395,gas,I3,35.0,4,5
Mirage G4,2018,ES,15595,gas,I3,37.0,4,5
Mirage G4,2018,SE,17095,gas,I3,37.0,4,5
Lancer,2017,ES,20295,gas,I4,26.0,4,5
Lancer,2017,ES,18795,gas,I4,30.0,4,5
Lancer,2017,ES,17795,gas,I4,28.0,4,5
Lancer,2017,LE,19795,gas,I4,30.0,4,5
Lancer,2017,SE,21095,gas,I4,26.0,4,5
Lancer,2017,SEL,22095,gas,I4,26.0,4,5
Mirage G4,2017,ES,13995,gas,I3,35.0,4,5
Mirage G4,2017,ES,15195,gas,I3,37.0,4,5
Mirage G4,2017,SE,16995,gas,I3,37.0,4,5
Lancer,2016,ES,19995,gas,I4,26.0,4,5
Lancer,2016,ES,18595,gas,I4,30.0,4,5
Lancer,2016,ES,17595,gas,I4,28.0,4,5
Lancer,2016,GT,22495,gas,I4,25.0,4,5
Lancer,2016,GT,23495,gas,I4,27.0,4,5
Lancer,2016,SE,20995,gas,I4,26.0,4,5
Lancer,2016,SEL,21995,gas,I4,26.0,4,5
Lancer,2015,ES,18295,gas,I4,29.0,4,5
Lancer,2015,ES,17395,gas,I4,28.0,4,5
Lancer,2015,GT,21595,gas,I4,26.0,4,5
Lancer,2015,GT,20595,gas,I4,26.0,4,5
Lancer,2015,Ralliart,29495,gas,I4,20.0,4,5
Lancer,2015,SE,20995,gas,I4,25.0,4,5
Lancer Evolution,2015,Final Edition,37995,gas,I4,19.0,4,5
Lancer Evolution,2015,GSR,34495,gas,I4,19.0,4,5
Lancer Evolution,2015,MR,38995,gas,I4,19.0,4,5
