Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
370Z,2019,Base,41920,gas,V6,21.0,2,2
370Z,2019,Sport Touring,49500,gas,V6,21.0,2,2
370Z,2019,Touring,46670,gas,V6,21.0,2,2
370Z,2018,Base,41820,gas,V6,21.0,2,2
370Z,2018,Touring,46570,gas,V6,21.0,2,2
370Z,2018,Touring Sport,48100,gas,V6,20.0,2,2
370Z,2018,Touring Sport,49400,gas,V6,21.0,2,2
370Z,2017,Base,41820,gas,V6,21.0,2,2
370Z,2017,Touring,46570,gas,V6,21.0,2,2
370Z,2017,Touring,45270,gas,V6,20.0,2,2
370Z,2017,Touring Sport,49400,gas,V6,21.0,2,2
370Z,2017,Touring Sport,48100,gas,V6,20.0,2,2
370Z,2016,Base,41820,gas,V6,21.0,2,2
370Z,2016,Touring,45270,gas,V6,20.0,2,2
370Z,2016,Touring,46570,gas,V6,21.0,2,2
370Z,2016,Touring Sport,48100,gas,V6,20.0,2,2
370Z,2016,Touring Sport,49400,gas,V6,21.0,2,2
370Z,2015,Base,41820,gas,V6,21.0,2,2
370Z,2015,Touring,45270,gas,V6,20.0,2,2
370Z,2015,Touring,46570,gas,V6,21.0,2,2
370Z,2015,Touring Sport,49400,gas,V6,21.0,2,2
370Z,2015,Touring Sport,48100,gas,V6,20.0,2,2
