Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
370Z,2020,Base,30090,gas,V6,20.0,2,2
370Z,2020,Base,31490,gas,V6,22.0,2,2
370Z,2020,NISMO,47190,gas,V6,22.0,2,2
370Z,2020,NISMO,45790,gas,V6,20.0,2,2
370Z,2020,Sport,33820,gas,V6,20.0,2,2
370Z,2020,Sport,35070,gas,V6,20.0,2,2
370Z,2020,Sport Touring,39490,gas,V6,22.0,2,2
GT-R,2020,NISMO,210740,gas,V6,18.0,2,4
GT-R,2020,Premium,113540,gas,V6,18.0,2,4
GT-R,2020,Track Edition,145540,gas,V6,18.0,2,4
370Z,2019,Base,31490,gas,V6,22.0,2,2
370Z,2019,Base,30090,gas,V6,20.0,2,2
370Z,2019,NISMO,47190,gas,V6,22.0,2,2
370Z,2019,NISMO,45790,gas,V6,20.0,2,2
370Z,2019,Sport,33820,gas,V6,20.0,2,2
370Z,2019,Sport Touring,39490,gas,V6,22.0,2,2
370Z,2019,Sport Touring,38190,gas,V6,20.0,2,2
GT-R,2019,NISMO,175540,gas,V6,18.0,2,4
GT-R,2019,Premium,110540,gas,V6,18.0,2,4
GT-R,2019,Pure,99990,gas,V6,18.0,2,4
GT-R,2019,Track Edition,128540,gas,V6,18.0,2,4
370Z,2018,Base,31390,gas,V6,22.0,2,2
370Z,2018,Base,29990,gas,V6,21.0,2,2
370Z,2018,NISMO Tech,47090,gas,V6,22.0,2,2
370Z,2018,NISMO Tech,45690,gas,V6,21.0,2,2
370Z,2018,Sport,33570,gas,V6,21.0,2,2
370Z,2018,Sport,34970,gas,V6,22.0,2,2
370Z,2018,Sport Tech,37070,gas,V6,21.0,2,2
370Z,2018,Sport Tech,38470,gas,V6,22.0,2,2
370Z,2018,Touring,39590,gas,V6,22.0,2,2
370Z,2018,Touring,38190,gas,V6,21.0,2,2
GT-R,2018,NISMO,175490,gas,V6,18.0,2,4
GT-R,2018,Premium,110490,gas,V6,18.0,2,4
GT-R,2018,Pure,99990,gas,V6,18.0,2,4
GT-R,2018,Track Edition,128490,gas,V6,18.0,2,4
370Z,2017,Base,29990,gas,V6,21.0,2,2
370Z,2017,Base,31290,gas,V6,22.0,2,2
370Z,2017,NISMO,41990,gas,V6,21.0,2,2
370Z,2017,NISMO,43290,gas,V6,22.0,2,2
370Z,2017,NISMO Tech,45490,gas,V6,21.0,2,2
370Z,2017,NISMO Tech,46790,gas,V6,22.0,2,2
370Z,2017,Sport,34870,gas,V6,22.0,2,2
370Z,2017,Sport,33570,gas,V6,21.0,2,2
370Z,2017,Sport Tech,37070,gas,V6,21.0,2,2
370Z,2017,Sport Tech,38370,gas,V6,22.0,2,2
370Z,2017,Touring,39270,gas,V6,22.0,2,2
370Z,2017,Touring,37970,gas,V6,21.0,2,2
GT-R,2017,NISMO,174990,gas,V6,18.0,2,4
GT-R,2017,Premium,109990,gas,V6,18.0,2,4
GT-R,2017,Track Edition,127990,gas,V6,18.0,2,4
370Z,2016,Base,29990,gas,V6,21.0,2,2
370Z,2016,Base,31290,gas,V6,21.0,2,2
370Z,2016,NISMO,43290,gas,V6,21.0,2,2
370Z,2016,NISMO,41990,gas,V6,21.0,2,2
370Z,2016,NISMO Tech,46790,gas,V6,21.0,2,2
370Z,2016,NISMO Tech,45490,gas,V6,21.0,2,2
370Z,2016,Sport,34870,gas,V6,21.0,2,2
370Z,2016,Sport,33570,gas,V6,21.0,2,2
370Z,2016,Sport Tech,37070,gas,V6,21.0,2,2
370Z,2016,Sport Tech,38370,gas,V6,21.0,2,2
370Z,2016,Touring,37970,gas,V6,21.0,2,2
370Z,2016,Touring,39270,gas,V6,21.0,2,2
GT-R,2016,Black Edition,111510,gas,V6,19.0,2,4
GT-R,2016,NISMO,149990,gas,V6,19.0,2,4
GT-R,2016,Premium,101770,gas,V6,19.0,2,4
370Z,2015,Base,31290,gas,V6,21.0,2,2
370Z,2015,Base,29990,gas,V6,21.0,2,2
370Z,2015,NISMO,41990,gas,V6,21.0,2,2
370Z,2015,NISMO,43290,gas,V6,21.0,2,2
370Z,2015,NISMO Tech,45490,gas,V6,21.0,2,2
370Z,2015,NISMO Tech,46790,gas,V6,21.0,2,2
370Z,2015,Sport,33570,gas,V6,21.0,2,2
370Z,2015,Sport,34870,gas,V6,21.0,2,2
370Z,2015,Sport Tech,37070,gas,V6,21.0,2,2
370Z,2015,Sport Tech,38370,gas,V6,21.0,2,2
370Z,2015,Touring,39270,gas,V6,21.0,2,2
370Z,2015,Touring,37970,gas,V6,21.0,2,2
GT-R,2015,Black Edition,111510,gas,V6,19.0,2,4
GT-R,2015,NISMO,149990,gas,V6,19.0,2,4
GT-R,2015,Premium,101770,gas,V6,19.0,2,4
GT-R,2015,Track Edition,115710,gas,V6,19.0,2,4
