Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
NV200,2020,S,23080,gas,I4,25.0,5,2
NV200,2020,SV,24080,gas,I4,25.0,5,2
NV200,2019,S,22300,gas,I4,25.0,5,2
NV200,2019,SV,23300,gas,I4,25.0,5,2
NV200,2018,S,21900,gas,I4,25.0,5,2
NV200,2018,SV,22900,gas,I4,25.0,5,2
NV200,2017,S,21330,gas,I4,25.0,5,2
NV200,2017,SV,22230,gas,I4,25.0,5,2
NV200,2016,S,20870,gas,I4,25.0,5,2
NV200,2016,SV,21760,gas,I4,25.0,5,2
Quest,2016,Platinum,43230,gas,V6,23.0,5,7
Quest,2016,S,26580,gas,V6,23.0,5,7
Quest,2016,SL,34110,gas,V6,23.0,5,7
Quest,2016,SV,30540,gas,V6,23.0,5,7
NV200,2015,S,20720,gas,I4,25.0,5,2
NV200,2015,SV,21710,gas,I4,25.0,5,2
Quest,2015,Platinum,43180,gas,V6,22.0,5,7
Quest,2015,S,26530,gas,V6,22.0,5,7
Quest,2015,SL,34060,gas,V6,22.0,5,7
Quest,2015,SV,30280,gas,V6,22.0,5,7
