Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Armada,2020,Platinum,60930,gas,V8,16.0,5,8
Armada,2020,Platinum,63930,gas,V8,15.0,5,8
Armada,2020,SL,55300,gas,V8,15.0,5,8
Armada,2020,SL,52300,gas,V8,16.0,5,8
Armada,2020,SV,50500,gas,V8,15.0,5,8
Armada,2020,SV,47500,gas,V8,16.0,5,8
Murano,2020,Platinum,45530,gas,V6,23.0,5,5
Murano,2020,Platinum,43930,gas,V6,23.0,5,5
Murano,2020,S,33330,gas,V6,23.0,5,5
Murano,2020,S,31730,gas,V6,23.0,5,5
Murano,2020,SL,39880,gas,V6,23.0,5,5
Murano,2020,SL,41480,gas,V6,23.0,5,5
Murano,2020,SV,36960,gas,V6,23.0,5,5
Murano,2020,SV,35360,gas,V6,23.0,5,5
Pathfinder,2020,Platinum,44910,gas,V6,21.0,5,7
Pathfinder,2020,Platinum,43220,gas,V6,23.0,5,7
Pathfinder,2020,S,31980,gas,V6,23.0,5,7
Pathfinder,2020,S,33670,gas,V6,22.0,5,7
Pathfinder,2020,SL,40080,gas,V6,22.0,5,7
Pathfinder,2020,SL,38390,gas,V6,23.0,5,7
Pathfinder,2020,SV,34770,gas,V6,23.0,5,7
Pathfinder,2020,SV,36460,gas,V6,22.0,5,7
Rogue,2020,S,25490,gas,I4,29.0,5,5
Rogue,2020,S,26840,gas,I4,27.0,5,5
Rogue,2020,SL,33190,gas,I4,27.0,5,5
Rogue,2020,SL,31840,gas,I4,29.0,5,5
Rogue,2020,SV,28220,gas,I4,27.0,5,5
Rogue,2020,SV,26870,gas,I4,29.0,5,5
Rogue Sport,2020,S,23430,gas,I4,28.0,5,5
Rogue Sport,2020,S,24780,gas,I4,27.0,5,5
Rogue Sport,2020,SL,29950,gas,I4,27.0,5,5
Rogue Sport,2020,SL,28600,gas,I4,28.0,5,5
Rogue Sport,2020,SV,24900,gas,I4,28.0,5,5
Rogue Sport,2020,SV,26250,gas,I4,27.0,5,5
Armada,2019,Platinum,60330,gas,V8,16.0,5,8
Armada,2019,Platinum,63330,gas,V8,15.0,5,8
Armada,2019,SL,54900,gas,V8,15.0,5,8
