Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Altima,2020,2.5 Platinum,32400,gas,I4,31.0,4,5
Altima,2020,2.5 Platinum,33750,gas,I4,29.0,4,5
Altima,2020,2.5 S,25650,gas,I4,30.0,4,5
Altima,2020,2.5 S,24300,gas,I4,32.0,4,5
Altima,2020,2.5 SL,31590,gas,I4,30.0,4,5
Altima,2020,2.5 SL,30240,gas,I4,32.0,4,5
Altima,2020,2.5 SR,25900,gas,I4,31.0,4,5
Altima,2020,2.5 SR,27250,gas,I4,29.0,4,5
Altima,2020,2.5 SV,28140,gas,I4,32.0,4,5
Altima,2020,2.5 SV,29490,gas,I4,30.0,4,5
Altima,2020,VC-T Platinum,35180,gas,I4,29.0,4,5
Altima,2020,VC-T SR,29750,gas,I4,29.0,4,5
Maxima,2020,3.5 S,34450,gas,V6,24.0,4,5
Maxima,2020,3.5 SL,38840,gas,V6,24.0,4,5
Maxima,2020,3.5 SR,41650,gas,V6,24.0,4,5
Maxima,2020,3.5 SV,36650,gas,V6,24.0,4,5
Maxima,2020,Platinum,41840,gas,V6,24.0,4,5
Sentra,2020,S,19310,gas,I4,33.0,4,5
Sentra,2020,SR,21650,gas,I4,32.0,4,5
Sentra,2020,SV,20370,gas,I4,33.0,4,5
Versa,2020,S,14830,gas,I4,30.0,4,5
Versa,2020,S,16500,gas,I4,35.0,4,5
Versa,2020,SR,18340,gas,I4,35.0,4,5
Versa,2020,SV,17740,gas,I4,35.0,4,5
Altima,2019,2.5 Platinum,32030,gas,I4,31.0,4,5
Altima,2019,2.5 Platinum,33380,gas,I4,29.0,4,5
Altima,2019,2.5 S,25350,gas,I4,30.0,4,5
Altima,2019,2.5 S,24000,gas,I4,32.0,4,5
Altima,2019,2.5 SL,31440,gas,I4,30.0,4,5
Altima,2019,2.5 SL,30090,gas,I4,32.0,4,5
Altima,2019,2.5 SR,25350,gas,I4,31.0,4,5
Altima,2019,2.5 SR,26700,gas,I4,29.0,4,5
Altima,2019,2.5 SV,29530,gas,I4,30.0,4,5
Altima,2019,2.5 SV,28180,gas,I4,32.0,4,5
Altima,2019,VC-T Edition ONE,35750,gas,I4,29.0,4,5
Altima,2019,VC-T Platinum,35030,gas,I4,29.0,4,5
Altima,2019,VC-T SR,29400,gas,I4,29.0,4,5
Maxima,2019,3.5 S,34050,gas,V6,24.0,4,5
Maxima,2019,3.5 SL,38540,gas,V6,24.0,4,5
Maxima,2019,3.5 SR,39630,gas,V6,24.0,4,5
Maxima,2019,3.5 SV,36060,gas,V6,24.0,4,5
Maxima,2019,Platinum,41540,gas,V6,24.0,4,5
Sentra,2019,NISMO,26040,gas,I4,27.0,4,5
Sentra,2019,NISMO,26040,gas,I4,27.0,4,5
Sentra,2019,S,18680,gas,I4,32.0,4,5
Sentra,2019,S,17990,gas,I4,30.0,4,5
Sentra,2019,SL,23220,gas,I4,32.0,4,5
Sentra,2019,SR,20790,gas,I4,32.0,4,5
Sentra,2019,SR TURBO,22770,gas,I4,29.0,4,5
Sentra,2019,SV,19290,gas,I4,32.0,4,5
Sentra,2019,SV,19290,gas,I4,32.0,4,5
