Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Frontier,2020,PRO-4X,37490,gas,V6,19.0,4,5
Frontier,2020,S,31290,gas,V6,19.0,4,5
Frontier,2020,S,27900,gas,V6,20.0,4,5
Frontier,2020,SV,31990,gas,V6,19.0,4,5
Frontier,2020,SV,31410,gas,V6,20.0,4,5
Frontier,2020,SV,32410,gas,V6,19.0,4,5
Frontier,2020,SV,28800,gas,V6,20.0,4,5
Titan,2020,Platinum Reserve,55490,gas,V8,18.0,4,5
Titan,2020,Platinum Reserve,58690,gas,V8,18.0,4,5
Titan,2020,PRO-4X,49790,gas,V8,17.0,4,5
Titan,2020,S,38890,gas,V8,18.0,4,6
Titan,2020,S,41990,gas,V8,18.0,4,6
Titan,2020,SL,53990,gas,V8,18.0,4,5
Titan,2020,SL,57190,gas,V8,18.0,4,5
Titan,2020,SV,42310,gas,V8,18.0,4,6
Titan,2020,SV,45410,gas,V8,18.0,4,6
Titan XD,2020,Platinum Reserve,61690,gas,V8,18.0,4,5
Titan XD,2020,PRO-4X,53980,gas,V8,17.0,4,5
Titan XD,2020,S,44580,gas,V8,18.0,4,6
Titan XD,2020,SL,58490,gas,V8,18.0,4,5
Titan XD,2020,SV,48290,gas,V8,18.0,4,6
Frontier,2019,Desert Runner,28030,gas,V6,19.0,4,5
Frontier,2019,PRO-4X,33440,gas,V6,18.0,4,5
Frontier,2019,PRO-4X,34490,gas,V6,17.0,4,5
Frontier,2019,S,25250,gas,V6,19.0,4,5
Frontier,2019,S,29690,gas,V6,17.0,4,5
Frontier,2019,S,26300,gas,V6,19.0,4,5
Frontier,2019,SL,34310,gas,V6,19.0,4,5
Frontier,2019,SL,37150,gas,V6,17.0,4,5
Frontier,2019,SV,29660,gas,V6,19.0,4,5
Frontier,2019,SV,33080,gas,V6,18.0,4,5
Frontier,2019,SV,27050,gas,V6,19.0,4,5
Frontier,2019,SV,30660,gas,V6,17.0,4,5
Frontier,2019,SV,30240,gas,V6,17.0,4,5
Titan,2019,Platinum Reserve,54630,gas,V8,18.0,4,5
Titan,2019,Platinum Reserve,57840,gas,V8,18.0,4,5
Titan,2019,PRO-4X,47110,gas,V8,17.0,4,5
Titan,2019,S,36680,gas,V8,18.0,4,6
Titan,2019,S,39830,gas,V8,18.0,4,6
Titan,2019,SL,48740,gas,V8,18.0,4,5
Titan,2019,SL,51940,gas,V8,18.0,4,5
Titan,2019,SV,39870,gas,V8,18.0,4,6
Titan,2019,SV,43020,gas,V8,18.0,4,6
Titan XD,2019,Platinum Reserve,56370,gas,V8,18.0,4,5
Titan XD,2019,Platinum Reserve,60080,gas,V8,18.0,4,5
Titan XD,2019,Platinum Reserve,65410,diesel,V8,,4,5
Titan XD,2019,Platinum Reserve,61710,diesel,V8,,4,5
Titan XD,2019,PRO-4X,49490,gas,V8,17.0,4,5
Titan XD,2019,PRO-4X,54830,diesel,V8,,4,5
Titan XD,2019,S,43610,diesel,V8,,4,6
Titan XD,2019,S,46760,diesel,V8,,4,6
Titan XD,2019,S,38270,gas,V8,18.0,4,6
Titan XD,2019,S,41430,gas,V8,18.0,4,6
Titan XD,2019,SL,59530,diesel,V8,,4,5
Titan XD,2019,SL,51050,gas,V8,18.0,4,5
Titan XD,2019,SL,54200,gas,V8,18.0,4,5
Titan XD,2019,SL,56380,diesel,V8,,4,5
Titan XD,2019,SV,45740,gas,V8,18.0,4,6
Titan XD,2019,SV,42640,gas,V8,18.0,4,6
Titan XD,2019,SV,50600,diesel,V8,,4,6
Titan XD,2019,SV,47510,diesel,V8,,4,6
Frontier,2018,Desert Runner,27330,gas,V6,19.0,4,5
Frontier,2018,PRO-4X,33790,gas,V6,17.0,4,5
Frontier,2018,PRO-4X,32740,gas,V6,18.0,4,5
Frontier,2018,S,24550,gas,V6,19.0,4,5
Frontier,2018,S,25600,gas,V6,19.0,4,5
Frontier,2018,S,29090,gas,V6,17.0,4,5
Frontier,2018,SL,36400,gas,V6,17.0,4,5
Frontier,2018,SL,33560,gas,V6,19.0,4,5
Frontier,2018,SV,29540,gas,V6,17.0,4,5
Frontier,2018,SV,29960,gas,V6,17.0,4,5
Frontier,2018,SV,32380,gas,V6,18.0,4,5
Frontier,2018,SV,28960,gas,V6,19.0,4,5
Frontier,2018,SV,26350,gas,V6,19.0,4,5
Titan,2018,Platinum Reserve,56800,gas,V8,18.0,4,5
Titan,2018,Platinum Reserve,53710,gas,V8,18.0,4,5
Titan,2018,PRO-4X,46170,gas,V8,17.0,4,5
Titan,2018,S,38960,gas,V8,18.0,4,6
Titan,2018,S,35930,gas,V8,18.0,4,6
Titan,2018,SL,47780,gas,V8,18.0,4,5
Titan,2018,SL,50860,gas,V8,18.0,4,5
Titan,2018,SV,39070,gas,V8,18.0,4,6
Titan,2018,SV,42100,gas,V8,18.0,4,6
Titan XD,2018,Platinum Reserve,64110,diesel,V8,,4,5
Titan XD,2018,Platinum Reserve,55280,gas,V8,18.0,4,5
Titan XD,2018,Platinum Reserve,58860,gas,V8,18.0,4,5
Titan XD,2018,Platinum Reserve,60530,diesel,V8,,4,5
Titan XD,2018,PRO-4X,48380,gas,V8,17.0,4,5
Titan XD,2018,PRO-4X,53630,diesel,V8,,4,5
Titan XD,2018,S,42740,diesel,V8,,4,6
