Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Frontier,2020,S,29680,gas,V6,19.0,4,4
Frontier,2020,S,26790,gas,V6,20.0,4,4
Frontier,2020,SV,30560,gas,V6,19.0,4,4
Frontier,2020,SV,27670,gas,V6,20.0,4,4
Titan,2020,PRO-4X,47590,gas,V8,17.0,4,5
Titan,2020,S,39390,gas,V8,18.0,4,6
Titan,2020,S,36190,gas,V8,18.0,4,6
Titan,2020,SV,39990,gas,V8,18.0,4,6
Titan,2020,SV,43190,gas,V8,18.0,4,6
Frontier,2019,Desert Runner,26600,gas,V6,19.0,4,4
Frontier,2019,PRO-4X,33730,gas,V6,17.0,4,4
Frontier,2019,S,19290,gas,I4,21.0,4,4
Frontier,2019,S,23360,gas,I4,19.0,4,4
Frontier,2019,SV,28810,gas,V6,17.0,4,4
Frontier,2019,SV,25920,gas,V6,19.0,4,4
Frontier,2019,SV,24160,gas,I4,21.0,4,4
Frontier,2019,SV,25210,gas,I4,19.0,4,4
Titan,2019,PRO-4X,44880,gas,V8,17.0,4,5
Titan,2019,S,37100,gas,V8,18.0,4,6
Titan,2019,S,33960,gas,V8,18.0,4,6
Titan,2019,SV,37390,gas,V8,18.0,4,6
Titan,2019,SV,40540,gas,V8,18.0,4,6
Titan XD,2019,PRO-4X,47210,gas,V8,17.0,4,5
Titan XD,2019,PRO-4X,52340,diesel,V8,,4,5
Titan XD,2019,S,38140,gas,V8,18.0,4,6
Titan XD,2019,S,34990,gas,V8,18.0,4,6
Titan XD,2019,S,41640,diesel,V8,,4,6
Titan XD,2019,S,45300,diesel,V8,,4,6
Titan XD,2019,SV,42740,gas,V8,18.0,4,6
Titan XD,2019,SV,39590,gas,V8,18.0,4,6
Titan XD,2019,SV,48380,diesel,V8,,4,6
Titan XD,2019,SV,45740,diesel,V8,,4,6
Frontier,2018,Desert Runner,25900,gas,V6,19.0,4,4
Frontier,2018,PRO-4X,33030,gas,V6,17.0,4,4
Frontier,2018,S,22660,gas,I4,19.0,4,4
Frontier,2018,S,18990,gas,I4,21.0,4,4
Frontier,2018,SV,25220,gas,V6,19.0,4,4
Frontier,2018,SV,23460,gas,I4,21.0,4,4
Frontier,2018,SV,24510,gas,I4,19.0,4,4
Frontier,2018,SV,28110,gas,V6,17.0,4,4
Titan,2018,PRO-4X,43990,gas,V8,17.0,4,5
Titan,2018,S,36280,gas,V8,18.0,4,6
Titan,2018,S,33250,gas,V8,18.0,4,6
Titan,2018,SV,36630,gas,V8,18.0,4,6
Titan,2018,SV,39660,gas,V8,18.0,4,6
Titan XD,2018,PRO-4X,46140,gas,V8,17.0,4,5
