Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Titan,2019,S,30690,gas,V8,18.0,2,3
Titan,2019,S,34090,gas,V8,18.0,2,3
Titan,2019,SV,34320,gas,V8,18.0,2,3
Titan,2019,SV,37470,gas,V8,18.0,2,3
Titan XD,2019,S,36140,gas,V8,18.0,2,3
Titan XD,2019,S,38620,diesel,V8,,2,3
Titan XD,2019,S,32990,gas,V8,18.0,2,3
Titan XD,2019,S,41770,diesel,V8,,2,3
Titan XD,2019,SV,43230,diesel,V8,,2,3
Titan XD,2019,SV,40230,gas,V8,18.0,2,3
Titan XD,2019,SV,37090,gas,V8,18.0,2,3
Titan XD,2019,SV,46380,diesel,V8,,2,3
Titan,2018,S,30030,gas,V8,18.0,2,3
Titan,2018,S,33310,gas,V8,18.0,2,3
Titan,2018,SV,33610,gas,V8,18.0,2,3
Titan,2018,SV,36640,gas,V8,18.0,2,3
Titan XD,2018,S,32290,gas,V8,18.0,2,3
Titan XD,2018,S,35320,gas,V8,18.0,2,3
Titan XD,2018,S,40870,diesel,V8,,2,3
Titan XD,2018,S,37840,diesel,V8,,2,3
Titan XD,2018,SV,45270,diesel,V8,,2,3
Titan XD,2018,SV,39220,gas,V8,18.0,2,3
Titan XD,2018,SV,36190,gas,V8,18.0,2,3
Titan XD,2018,SV,42240,diesel,V8,,2,3
Titan,2017,S,32610,gas,V8,18.0,2,3
Titan,2017,S,29580,gas,V8,18.0,2,3
Titan,2017,SV,35940,gas,V8,18.0,2,3
Titan,2017,SV,32910,gas,V8,18.0,2,3
Titan XD,2017,S,37140,diesel,V8,,2,3
Titan XD,2017,S,40170,diesel,V8,,2,3
Titan XD,2017,S,31590,gas,V8,18.0,2,3
Titan XD,2017,S,34620,gas,V8,18.0,2,3
Titan XD,2017,SV,44570,diesel,V8,,2,3
Titan XD,2017,SV,41540,diesel,V8,,2,3
Titan XD,2017,SV,38520,gas,V8,18.0,2,3
Titan XD,2017,SV,35490,gas,V8,18.0,2,3
