Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
NV Cargo,2020,1500 S,30140,gas,V6,,4,2
NV Cargo,2020,1500 SV,31130,gas,V6,,4,2
NV Cargo,2020,2500 S,33190,gas,V6,,4,2
NV Cargo,2020,2500 S,31040,gas,V6,,4,2
NV Cargo,2020,2500 SV,32030,gas,V6,,4,2
NV Cargo,2020,2500 SV,35780,gas,V8,,4,2
NV Cargo,2020,2500 SV,34180,gas,V6,,4,2
NV Cargo,2020,2500 SV,33630,gas,V8,,4,2
NV Cargo,2020,3500 S,34340,gas,V8,,4,2
NV Cargo,2020,3500 S,36490,gas,V8,,4,2
NV Cargo,2020,3500 SL,38560,gas,V8,,4,2
NV Cargo,2020,3500 SL,36410,gas,V8,,4,2
NV Cargo,2020,3500 SV,35330,gas,V8,,4,2
NV Cargo,2020,3500 SV,37480,gas,V8,,4,2
NV Passenger,2020,3500 S,36360,gas,V6,,4,12
NV Passenger,2020,3500 SL,43110,gas,V8,,4,12
NV Passenger,2020,3500 SV,38310,gas,V6,,4,12
NV Cargo,2019,1500 S,29440,gas,V6,,4,2
NV Cargo,2019,1500 SV,30430,gas,V6,,4,2
NV Cargo,2019,2500 S,34190,gas,V8,,4,2
NV Cargo,2019,2500 S,32590,gas,V6,,4,2
NV Cargo,2019,2500 S,32040,gas,V8,,4,2
NV Cargo,2019,2500 S,30440,gas,V6,,4,2
NV Cargo,2019,2500 SL,32550,gas,V6,,4,2
NV Cargo,2019,2500 SL,34700,gas,V6,,4,2
NV Cargo,2019,2500 SV,31430,gas,V6,,4,2
NV Cargo,2019,2500 SV,33030,gas,V8,,4,2
NV Cargo,2019,2500 SV,33580,gas,V6,,4,2
NV Cargo,2019,2500 SV,35180,gas,V8,,4,2
NV Cargo,2019,3500 S,33740,gas,V8,,4,2
NV Cargo,2019,3500 S,35890,gas,V8,,4,2
NV Cargo,2019,3500 SL,37960,gas,V8,,4,2
