Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Panamera,2020,4 E-Hybrid Sport Turismo,107800,plug-in hybrid,V6,23.0,5,5
Panamera,2020,4 Sport Turismo,98000,gas,V6,22.0,5,5
Panamera,2020,4S Sport Turismo,111200,gas,V6,20.0,5,5
Panamera,2020,GTS Sport Turismo,135500,gas,V8,18.0,5,5
Panamera,2020,Turbo S E-Hybrid Sport Turismo,191700,plug-in hybrid,V8,20.0,5,5
Panamera,2020,Turbo Sport Turismo,157000,gas,V8,20.0,5,5
Panamera,2019,4 E-Hybrid Sport Turismo,106900,plug-in hybrid,V6,23.0,5,5
Panamera,2019,4 Sport Turismo,97100,gas,V6,22.0,5,5
Panamera,2019,4S Sport Turismo,110200,gas,V6,20.0,5,5
Panamera,2019,GTS Sport Turismo,134500,gas,V8,18.0,5,5
Panamera,2019,Turbo S E-Hybrid Sport Turismo,190200,plug-in hybrid,V8,20.0,5,5
Panamera,2019,Turbo Sport Turismo,155500,gas,V8,20.0,5,5
Panamera,2018,4 E-Hybrid Sport Turismo,104000,plug-in hybrid,V6,22.0,5,5
Panamera,2018,4 Sport Turismo,96200,gas,V6,23.0,5,5
Panamera,2018,4S Sport Turismo,109200,gas,V6,22.0,5,5
Panamera,2018,Turbo S E-Hybrid Sport Turismo,188400,plug-in hybrid,V8,21.0,5,4
Panamera,2018,Turbo Sport Turismo,154000,gas,V8,21.0,5,5
