Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Promaster City,2020,Tradesman Cargo,24480,gas,I4,24.0,5,2
Promaster City,2020,Tradesman SLT Cargo,26180,gas,I4,24.0,5,2
Promaster City,2020,Wagon,26130,gas,I4,24.0,5,5
Promaster City,2020,Wagon SLT,27730,gas,I4,24.0,5,5
Promaster City,2019,Tradesman Cargo,24295,gas,I4,24.0,5,2
Promaster City,2019,Tradesman SLT Cargo,26045,gas,I4,24.0,5,2
Promaster City,2019,Wagon,25945,gas,I4,24.0,5,5
Promaster City,2019,Wagon SLT,27595,gas,I4,24.0,5,5
Promaster City,2018,Tradesman Cargo,23995,gas,I4,24.0,5,2
Promaster City,2018,Tradesman SLT Cargo,25645,gas,I4,24.0,5,2
Promaster City,2018,Wagon,25095,gas,I4,24.0,5,5
Promaster City,2018,Wagon SLT,26745,gas,I4,24.0,5,5
Promaster City,2017,Tradesman Cargo,23495,gas,I4,24.0,5,2
Promaster City,2017,Tradesman SLT Cargo,25120,gas,I4,24.0,5,2
Promaster City,2017,Wagon,24595,gas,I4,24.0,5,5
Promaster City,2017,Wagon SLT,26220,gas,I4,24.0,5,5
Promaster City,2016,Tradesman Cargo,23445,gas,I4,21.0,5,2
Promaster City,2016,Tradesman SLT Cargo,25070,gas,I4,21.0,5,2
Promaster City,2016,Wagon,24445,gas,I4,21.0,5,5
Promaster City,2016,Wagon SLT,26070,gas,I4,21.0,5,5
C/V,2015,Base,22500,flex-fuel (FFV),V6,21.0,5,2
Promaster City,2015,Tradesman Cargo,23130,gas,I4,24.0,5,2
Promaster City,2015,Tradesman SLT Cargo,24655,gas,I4,24.0,5,2
Promaster City,2015,Wagon,24130,gas,I4,24.0,5,5
Promaster City,2015,Wagon SLT,25655,gas,I4,24.0,5,5
