Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
1500,2020,Big Horn,39690,mild hybrid,V6,22.0,4,6
1500,2020,Big Horn,39390,mild hybrid,V6,22.0,4,6
1500,2020,Big Horn,42890,mild hybrid,V6,21.0,4,6
1500,2020,Big Horn,43190,mild hybrid,V6,21.0,4,6
1500,2020,Laramie,43490,mild hybrid,V6,22.0,4,6
1500,2020,Laramie,43790,mild hybrid,V6,22.0,4,6
1500,2020,Laramie,46990,mild hybrid,V6,21.0,4,6
1500,2020,Laramie,47290,mild hybrid,V6,21.0,4,6
1500,2020,Limited,53715,mild hybrid,V6,22.0,4,5
1500,2020,Limited,57515,mild hybrid,V6,21.0,4,5
1500,2020,Limited,53715,mild hybrid,V6,22.0,4,5
1500,2020,Limited,57215,mild hybrid,V6,21.0,4,5
1500,2020,Lone Star,39390,mild hybrid,V6,22.0,4,6
1500,2020,Lone Star,42890,mild hybrid,V6,21.0,4,6
1500,2020,Lone Star,43190,mild hybrid,V6,21.0,4,6
1500,2020,Lone Star,39690,gas,V8,22.0,4,6
1500,2020,Longhorn,54640,mild hybrid,V6,21.0,4,5
1500,2020,Longhorn,51440,mild hybrid,V6,22.0,4,5
1500,2020,Longhorn,51140,mild hybrid,V6,22.0,4,5
1500,2020,Longhorn,54940,mild hybrid,V6,21.0,4,5
1500,2020,Rebel,48240,mild hybrid,V6,21.0,4,5
1500,2020,Rebel,44740,mild hybrid,V6,22.0,4,5
1500,2020,Tradesman,35245,mild hybrid,V6,22.0,4,6
1500,2020,Tradesman,38445,mild hybrid,V6,21.0,4,6
1500,2020,Tradesman,34945,mild hybrid,V6,22.0,4,6
1500,2020,Tradesman,38745,mild hybrid,V6,21.0,4,6
1500 Classic,2020,Express,40505,gas,V6,19.0,4,6
1500 Classic,2020,Express,36875,gas,V6,20.0,4,6
1500 Classic,2020,SLT Fleet,42395,gas,V6,19.0,4,6
1500 Classic,2020,SLT Fleet,38795,gas,V6,20.0,4,6
1500 Classic,2020,SLT Fleet,44380,gas,V8,17.0,4,6
1500 Classic,2020,SLT Fleet,40545,gas,V8,17.0,4,6
1500 Classic,2020,Tradesman,38405,gas,V6,19.0,4,6
1500 Classic,2020,Tradesman,35145,gas,V8,17.0,4,6
1500 Classic,2020,Tradesman,38980,gas,V8,17.0,4,6
1500 Classic,2020,Tradesman,34775,gas,V6,20.0,4,6
1500 Classic,2020,Warlock,38795,gas,V6,20.0,4,6
1500 Classic,2020,Warlock,42395,gas,V6,19.0,4,6
2500,2020,Big Horn,42350,gas,V8,,4,6
2500,2020,Big Horn,42550,gas,V8,,4,6
2500,2020,Big Horn,45250,gas,V8,,4,6
2500,2020,Big Horn,45450,gas,V8,,4,6
2500,2020,Laramie,52550,gas,V8,,4,6
2500,2020,Laramie,52350,gas,V8,,4,6
2500,2020,Laramie,49650,gas,V8,,4,6
