Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
1500 Classic,2020,Express,29700,gas,V6,20.0,2,3
1500 Classic,2020,Express,34300,gas,V6,19.0,2,3
1500 Classic,2020,SLT Fleet,36645,gas,V6,19.0,2,3
1500 Classic,2020,SLT Fleet,32145,gas,V6,20.0,2,3
1500 Classic,2020,SLT Fleet,32445,gas,V6,20.0,2,3
1500 Classic,2020,SLT Fleet,36945,gas,V6,19.0,2,3
1500 Classic,2020,Tradesman,28200,gas,V6,20.0,2,3
1500 Classic,2020,Tradesman,32800,gas,V6,19.0,2,3
1500 Classic,2020,Tradesman,32800,gas,V6,19.0,2,3
1500 Classic,2020,Tradesman,28200,gas,V6,20.0,2,3
2500,2020,Big Horn,37895,gas,V8,,2,3
2500,2020,Big Horn,40795,gas,V8,,2,3
2500,2020,Lone Star,37895,gas,V8,,2,3
2500,2020,Lone Star,40795,gas,V8,,2,3
2500,2020,Tradesman,36795,gas,V8,,2,3
2500,2020,Tradesman,33895,gas,V8,,2,3
3500,2020,Big Horn,42145,gas,V8,,2,3
3500,2020,Big Horn,39345,gas,V8,,2,3
3500,2020,Lone Star,42145,gas,V8,,2,3
3500,2020,Lone Star,39345,gas,V8,,2,3
3500,2020,Tradesman,35345,gas,V8,,2,3
3500,2020,Tradesman,38145,gas,V8,,2,3
1500 Classic,2019,Express,29145,gas,V6,20.0,2,3
1500 Classic,2019,Express,33745,gas,V6,19.0,2,3
1500 Classic,2019,SLT Fleet,32145,gas,V6,20.0,2,3
1500 Classic,2019,SLT Fleet,36645,gas,V6,19.0,2,3
1500 Classic,2019,SLT Fleet,36345,gas,V6,19.0,2,3
1500 Classic,2019,SLT Fleet,31845,gas,V6,20.0,2,3
1500 Classic,2019,Tradesman,32245,gas,V6,19.0,2,3
1500 Classic,2019,Tradesman,32245,gas,V6,19.0,2,3
1500 Classic,2019,Tradesman,27645,gas,V6,20.0,2,3
1500 Classic,2019,Tradesman,27645,gas,V6,20.0,2,3
2500,2019,Big Horn,40545,gas,V8,,2,3
2500,2019,Big Horn,37645,gas,V8,,2,3
2500,2019,Lone Star,40545,gas,V8,,2,3
2500,2019,Lone Star,37645,gas,V8,,2,3
2500,2019,Tradesman,36295,gas,V8,,2,3
2500,2019,Tradesman,33395,gas,V8,,2,3
3500,2019,Big Horn,39095,gas,V8,,2,3
3500,2019,Big Horn,41895,gas,V8,,2,3
3500,2019,Lone Star,39095,gas,V8,,2,3
3500,2019,Lone Star,41895,gas,V8,,2,3
3500,2019,Tradesman,37645,gas,V8,,2,3
3500,2019,Tradesman,34845,gas,V8,,2,3
1500,2018,Big Horn,38295,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Big Horn,37995,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Big Horn,33795,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Big Horn,33495,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Express,28395,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Express,32995,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Lone Star,31495,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Lone Star,31795,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Lone Star,35995,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Lone Star,36295,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Night,39290,flex-fuel (FFV),V6,19.0,2,2
1500,2018,Night,37290,gas,V8,17.0,2,2
1500,2018,SLT Fleet,31495,flex-fuel (FFV),V6,20.0,2,3
1500,2018,SLT Fleet,35695,flex-fuel (FFV),V6,19.0,2,3
1500,2018,SLT Fleet,31195,flex-fuel (FFV),V6,20.0,2,3
1500,2018,SLT Fleet,35995,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Sport,38895,flex-fuel (FFV),V6,19.0,2,2
1500,2018,Sport,36895,gas,V8,17.0,2,2
1500,2018,Tradesman,31695,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Tradesman,27095,flex-fuel (FFV),V6,20.0,2,3
1500,2018,Tradesman,31695,flex-fuel (FFV),V6,19.0,2,3
1500,2018,Tradesman,27095,flex-fuel (FFV),V6,20.0,2,3
2500,2018,SLT,36745,gas,V8,,2,3
2500,2018,SLT,39545,gas,V8,,2,3
2500,2018,Tradesman,35345,gas,V8,,2,3
2500,2018,Tradesman,32545,gas,V8,,2,3
3500,2018,SLT,37845,gas,V8,,2,3
3500,2018,SLT,40645,gas,V8,,2,3
3500,2018,Tradesman,33645,gas,V8,,2,3
3500,2018,Tradesman,36445,gas,V8,,2,3
1500,2017,Big Horn,33495,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Big Horn,38295,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Big Horn,37995,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Big Horn,33795,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Express,27895,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Express,32495,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Lone Star,31495,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Lone Star,31795,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Lone Star,35995,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Lone Star,36295,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Night,38990,flex-fuel (FFV),V6,19.0,2,2
1500,2017,Night,36990,gas,V8,17.0,2,2
1500,2017,SLT,31495,flex-fuel (FFV),V6,20.0,2,3
1500,2017,SLT,35995,flex-fuel (FFV),V6,19.0,2,3
1500,2017,SLT,35695,flex-fuel (FFV),V6,19.0,2,3
1500,2017,SLT,31195,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Sport,36595,gas,V8,17.0,2,2
1500,2017,Sport,38595,flex-fuel (FFV),V6,19.0,2,2
1500,2017,Tradesman,31095,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Tradesman,31095,flex-fuel (FFV),V6,19.0,2,3
1500,2017,Tradesman,26495,flex-fuel (FFV),V6,20.0,2,3
1500,2017,Tradesman,26495,flex-fuel (FFV),V6,20.0,2,3
2500,2017,SLT,36345,gas,V8,,2,3
2500,2017,SLT,39145,gas,V8,,2,3
2500,2017,Tradesman,32145,gas,V8,,2,3
