Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Promaster Cargo Van,2020,1500 High Roof,33995,gas,V6,,4,2
Promaster Cargo Van,2020,1500 Low Roof,31245,gas,V6,,4,2
Promaster Cargo Van,2020,1500 Low Roof,33095,gas,V6,,4,2
Promaster Cargo Van,2020,2500 High Roof,34995,gas,V6,,4,2
Promaster Cargo Van,2020,2500 High Roof,36795,gas,V6,,4,2
Promaster Cargo Van,2020,2500 Low Roof,34145,gas,V6,,4,2
Promaster Cargo Van,2020,3500 High Roof,37945,gas,V6,,4,2
Promaster Cargo Van,2020,3500 High Roof,36395,gas,V6,,4,2
Promaster Cargo Van,2020,3500 Low Roof,35895,gas,V6,,4,2
Promaster Window Van,2020,2500 High Roof,36995,gas,V6,,4,2
Promaster Cargo Van,2019,1500 High Roof,32895,gas,V6,,4,2
Promaster Cargo Van,2019,1500 Low Roof,32295,gas,V6,,4,2
Promaster Cargo Van,2019,1500 Low Roof,30195,gas,V6,,4,2
Promaster Cargo Van,2019,2500 High Roof,35695,gas,V6,,4,2
Promaster Cargo Van,2019,2500 High Roof,33895,gas,V6,,4,2
Promaster Cargo Van,2019,2500 Low Roof,33595,gas,V6,,4,2
Promaster Cargo Van,2019,3500 High Roof,35195,gas,V6,,4,2
Promaster Cargo Van,2019,3500 High Roof,36895,gas,V6,,4,2
Promaster Cargo Van,2019,3500 Low Roof,34895,gas,V6,,4,2
Promaster Window Van,2019,2500 High Roof,36295,gas,V6,,4,2
Promaster Cargo Van,2018,1500 High Roof,32195,gas,V6,,4,2
Promaster Cargo Van,2018,1500 Low Roof,29995,gas,V6,,4,2
Promaster Cargo Van,2018,1500 Low Roof,31395,gas,V6,,4,2
Promaster Cargo Van,2018,2500 High Roof,33195,gas,V6,,4,2
Promaster Cargo Van,2018,2500 High Roof,34795,gas,V6,,4,2
Promaster Cargo Van,2018,3500 High Roof,35995,gas,V6,,4,2
Promaster Window Van,2018,2500 High Roof,35195,gas,V6,,4,2
Promaster Cargo Van,2017,1500 High Roof,31695,gas,V6,,4,2
Promaster Cargo Van,2017,1500 Low Roof,29995,gas,V6,,4,2
Promaster Cargo Van,2017,1500 Low Roof,30795,gas,V6,,4,2
Promaster Cargo Van,2017,2500 High Roof,34295,gas,V6,,4,2
Promaster Cargo Van,2017,2500 High Roof,32695,gas,V6,,4,2
Promaster Cargo Van,2017,3500 High Roof,35495,gas,V6,,4,2
Promaster Window Van,2017,2500 High Roof,34345,gas,V6,,4,2
Promaster Cargo Van,2016,1500 High Roof,31495,gas,V6,,4,2
Promaster Cargo Van,2016,1500 Low Roof,29865,gas,V6,,4,2
Promaster Cargo Van,2016,1500 Low Roof,30630,gas,V6,,4,2
Promaster Cargo Van,2016,2500 High Roof,32495,gas,V6,,4,2
Promaster Cargo Van,2016,2500 High Roof,34085,gas,V6,,4,2
Promaster Cargo Van,2016,3500 High Roof,37010,gas,V6,,4,2
Promaster Cargo Van,2016,3500 High Roof,37810,gas,V6,,4,2
Promaster Window Van,2016,2500 High Roof,34150,gas,V6,,4,2
Promaster Cargo Van,2015,1500 High Roof,30600,gas,V6,,4,2
Promaster Cargo Van,2015,1500 Low Roof,28970,gas,V6,,4,2
Promaster Cargo Van,2015,1500 Low Roof,29735,gas,V6,,4,2
Promaster Cargo Van,2015,2500 High Roof,31600,gas,V6,,4,2
Promaster Cargo Van,2015,2500 High Roof,33190,gas,V6,,4,2
Promaster Cargo Van,2015,3500 High Roof,36915,gas,V6,,4,2
Promaster Cargo Van,2015,3500 High Roof,36115,gas,V6,,4,2
Promaster Window Van,2015,2500 High Roof,33255,gas,V6,,4,2
