Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Dawn,2020,Base,356500,gas,V12,14.0,2,4
Dawn,2020,Black Badge,406500,gas,V12,14.0,2,4
Dawn,2019,Base,353000,gas,V12,14.0,2,4
Dawn,2019,Black Badge,401200,gas,V12,14.0,2,4
Dawn,2018,Base,353000,gas,V12,14.0,2,4
Dawn,2018,Black Badge,393550,gas,V12,14.0,2,4
Dawn,2017,Base,341125,gas,V12,14.0,2,4
Phantom Drophead Coupe,2017,Base,492000,gas,V12,14.0,2,4
Dawn,2016,Base,335000,gas,V12,14.0,2,4
Phantom Drophead Coupe,2016,Base,492000,gas,V12,14.0,2,4
Phantom Drophead Coupe,2015,Base,479775,gas,V12,14.0,2,4
