Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Wraith,2020,Base,330000,gas,V12,14.0,2,4
Wraith,2020,Black Badge,380000,gas,V12,14.0,2,4
Wraith,2019,Base,327000,gas,V12,14.0,2,4
Wraith,2019,Black Badge,375200,gas,V12,14.0,2,4
Wraith,2018,Base,327000,gas,V12,14.0,2,4
Wraith,2018,Black Badge,367750,gas,V12,14.0,2,4
Wraith,2017,Base,315700,gas,V12,15.0,2,4
Phantom Coupe,2016,Base,449525,gas,V12,14.0,2,4
Wraith,2016,Base,304350,gas,V12,15.0,2,4
Phantom Coupe,2015,Base,438325,gas,V12,14.0,2,4
Wraith,2015,Base,294025,gas,V12,15.0,2,4
