Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Ghost,2020,Base,315000,gas,V12,14.0,4,5
Ghost,2020,Black Badge,352500,gas,V12,14.0,4,5
Ghost,2020,EWB,349000,gas,V12,14.0,4,5
Phantom,2020,Base,455000,gas,V12,14.0,4,5
Phantom,2020,EWB,535000,gas,V12,14.0,4,5
Ghost,2019,Base,315000,gas,V12,14.0,4,5
Ghost,2019,Black Badge,362725,gas,V12,14.0,4,5
Ghost,2019,EWB,349000,gas,V12,14.0,4,5
Phantom,2019,Base,450000,gas,V12,14.0,4,5
Phantom,2019,EWB,530000,gas,V12,14.0,4,5
Ghost,2018,Base,315000,gas,V12,14.0,4,5
Ghost,2018,Black Badge,359150,gas,V12,14.0,4,5
Ghost,2018,EWB,349000,gas,V12,14.0,4,5
Phantom,2018,Base,450000,gas,V12,14.0,4,5
Phantom,2018,EWB,530000,gas,V12,14.0,4,5
Ghost,2017,Base,305800,gas,V12,14.0,4,5
Ghost,2017,EWB,339775,gas,V12,14.0,4,5
Ghost,2016,Base,295850,gas,V12,15.0,4,5
Ghost,2016,EWB,329325,gas,V12,15.0,4,5
Phantom,2016,Base,417825,gas,V12,14.0,4,5
Phantom,2016,EWB,492425,gas,V12,14.0,4,5
Ghost,2015,Base,286750,gas,V12,15.0,4,5
Ghost,2015,EWB,319400,gas,V12,15.0,4,5
Phantom,2015,Base,407400,gas,V12,14.0,4,5
Phantom,2015,EWB,480175,gas,V12,14.0,4,5
