Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
iM,2016,Base,19200,gas,I4,32.0,5,5
iM,2016,Base,18460,gas,I4,31.0,5,5
tC,2016,Base,20535,gas,I4,26.0,3,5
tC,2016,Base,19385,gas,I4,26.0,3,5
tC,2016,Release Series 10.0,24340,gas,I4,26.0,3,5
tC,2016,Release Series 10.0,23190,gas,I4,26.0,3,5
iQ,2015,Base,15665,gas,I4,37.0,3,4
tC,2015,Base,19210,gas,I4,26.0,3,5
tC,2015,Base,20360,gas,I4,26.0,3,5
tC,2015,Release Series 9.0,23190,gas,I4,26.0,3,5
tC,2015,Release Series 9.0,24340,gas,I4,26.0,3,5
