Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
BRZ,2020,Limited,29945,gas,flat 4,27.0,2,4
BRZ,2020,Limited,28845,gas,flat 4,24.0,2,4
BRZ,2020,tS,31495,gas,flat 4,23.0,2,4
BRZ,2019,Limited,29745,gas,flat 4,27.0,2,4
BRZ,2019,Limited,28645,gas,flat 4,24.0,2,4
BRZ,2019,Premium,25795,gas,flat 4,24.0,2,4
BRZ,2019,Series.Gray,30140,gas,flat 4,24.0,2,4
BRZ,2018,Limited,28445,gas,flat 4,24.0,2,4
BRZ,2018,Limited,29545,gas,flat 4,27.0,2,4
BRZ,2018,Premium,25595,gas,flat 4,24.0,2,4
BRZ,2018,tS,33495,gas,flat 4,24.0,2,4
BRZ,2017,Limited,28745,gas,flat 4,27.0,2,4
BRZ,2017,Limited,27645,gas,flat 4,24.0,2,4
BRZ,2017,Premium,25495,gas,flat 4,24.0,2,4
BRZ,2017,Series.Yellow,29695,gas,flat 4,24.0,2,4
BRZ,2016,Limited,27395,gas,flat 4,25.0,2,4
BRZ,2016,Limited,28495,gas,flat 4,28.0,2,4
BRZ,2016,Premium,25395,gas,flat 4,25.0,2,4
BRZ,2016,Series.HyperBlue,27690,gas,flat 4,25.0,2,4
BRZ,2015,Limited,27695,gas,flat 4,25.0,2,4
BRZ,2015,Limited,28795,gas,flat 4,28.0,2,4
BRZ,2015,Premium,25695,gas,flat 4,25.0,2,4
BRZ,2015,Series.Blue,29490,gas,flat 4,25.0,2,4
