Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Impreza,2020,Base,20495,gas,flat 4,31.0,5,5
Impreza,2020,Base,19195,gas,flat 4,26.0,5,5
Impreza,2020,Limited,26295,gas,flat 4,31.0,5,5
Impreza,2020,Premium,22595,gas,flat 4,31.0,5,5
Impreza,2020,Sport,23995,gas,flat 4,30.0,5,5
Impreza,2020,Sport,22895,gas,flat 4,25.0,5,5
Impreza,2019,2.0i,19095,gas,flat 4,26.0,5,5
Impreza,2019,2.0i,20095,gas,flat 4,31.0,5,5
Impreza,2019,2.0i Limited,25690,gas,flat 4,31.0,5,5
Impreza,2019,2.0i Premium,22095,gas,flat 4,31.0,5,5
Impreza,2019,2.0i Sport,22695,gas,flat 4,25.0,5,5
Impreza,2019,2.0i Sport,23495,gas,flat 4,30.0,5,5
Impreza,2018,2.0i,19995,gas,flat 4,31.0,5,5
Impreza,2018,2.0i,18995,gas,flat 4,26.0,5,5
Impreza,2018,2.0i Limited,24695,gas,flat 4,31.0,5,5
Impreza,2018,2.0i Premium,21795,gas,flat 4,31.0,5,5
Impreza,2018,2.0i Sport,23395,gas,flat 4,30.0,5,5
Impreza,2018,2.0i Sport,22595,gas,flat 4,25.0,5,5
Impreza,2017,2.0i,19895,gas,flat 4,31.0,5,5
Impreza,2017,2.0i,18895,gas,flat 4,26.0,5,5
Impreza,2017,2.0i Limited,24595,gas,flat 4,31.0,5,5
Impreza,2017,2.0i Premium,21695,gas,flat 4,31.0,5,5
Impreza,2017,2.0i Sport,23295,gas,flat 4,30.0,5,5
Impreza,2017,2.0i Sport,22495,gas,flat 4,25.0,5,5
Impreza,2016,2.0i Limited PZEV,23095,gas,flat 4,31.0,5,5
Impreza,2016,2.0i Premium PZEV,21595,gas,flat 4,31.0,5,5
Impreza,2016,2.0i PZEV,18795,gas,flat 4,28.0,5,5
Impreza,2016,2.0i PZEV,19795,gas,flat 4,31.0,5,5
Impreza,2016,2.0i Sport Limited PZEV,23595,gas,flat 4,31.0,5,5
Impreza,2016,2.0i Sport Premium PZEV,21095,gas,flat 4,28.0,5,5
Impreza,2016,2.0i Sport Premium PZEV,22095,gas,flat 4,31.0,5,5
Impreza,2015,2.0i Limited PZEV,22795,gas,flat 4,31.0,5,5
Impreza,2015,2.0i Premium PZEV,21495,gas,flat 4,31.0,5,5
Impreza,2015,2.0i PZEV,19695,gas,flat 4,31.0,5,5
Impreza,2015,2.0i PZEV,18695,gas,flat 4,28.0,5,5
Impreza,2015,2.0i Sport Limited PZEV,23295,gas,flat 4,31.0,5,5
Impreza,2015,2.0i Sport Premium PZEV,21995,gas,flat 4,31.0,5,5
Impreza,2015,2.0i Sport Premium PZEV,20995,gas,flat 4,28.0,5,5
