Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Model X,2020,Long Range,84990,electric,,,5,5
Model X,2020,Long Range Plus,79990,electric,,,5,5
Model X,2020,Performance,99990,electric,,,5,5
Model Y,2020,Long Range,48000,electric,,,5,5
Model Y,2020,Long Range,49990,electric,,,5,5
Model Y,2020,Performance,59990,electric,,,5,5
Model X,2019,100D,97000,electric,,,5,5
Model X,2019,75D,82000,electric,,,5,5
Model X,2019,Base,88000,electric,,,5,5
Model X,2019,Long Range,84990,electric,,,5,5
Model X,2019,P100D,138000,electric,,,5,5
Model X,2019,Performance,104990,electric,,,5,5
Model X,2019,Standard Range,81000,electric,,,5,5
Model X,2018,100D,96000,electric,,,5,5
Model X,2018,75D,79500,electric,,,5,5
Model X,2018,P100D,140000,electric,,,5,5
Model X,2017,100D,98500,electric,,,5,5
Model X,2017,75D,82500,electric,,,5,5
Model X,2017,90D,93500,electric,,,5,5
Model X,2017,P100D,135500,electric,,,5,5
Model X,2016,75D,83000,electric,,,5,5
Model X,2016,90D,95500,electric,,,5,5
Model X,2016,P90D,115500,electric,,,5,5
