Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Model 3,2020,Long Range,46990,electric,,,4,5
Model 3,2020,Performance,54990,electric,,,4,5
Model 3,2020,Standard Range Plus,37990,electric,,,4,5
Model S,2020,Long Range,79990,electric,,,4,5
Model S,2020,Long Range Plus,69420,electric,,,4,5
Model S,2020,Performance,91990,electric,,,4,5
Model 3,2019,Long Range,43000,electric,,,4,5
Model 3,2019,Long Range,47990,electric,,,4,5
Model 3,2019,Mid Range,44000,electric,,,4,5
Model 3,2019,Performance,56990,electric,,,4,5
Model 3,2019,Standard Range,35000,electric,,,4,5
Model 3,2019,Standard Range Plus,39490,electric,,,4,5
Model S,2019,100D,94000,electric,,,4,5
Model S,2019,75D,76000,electric,,,4,5
Model S,2019,Base,85000,electric,,,4,5
Model S,2019,Long Range,79990,electric,,,4,5
Model S,2019,P100D,133000,electric,,,4,5
Model S,2019,Performance,99990,electric,,,4,5
Model S,2019,Standard Range,75000,electric,,,4,5
Model 3,2018,Long Range,49000,electric,,,4,5
Model 3,2018,Long Range,55000,electric,,,4,5
Model 3,2018,Mid Range,46000,electric,,,4,5
Model 3,2018,Performance,64000,electric,,,4,5
Model S,2018,100D,94000,electric,,,4,5
Model S,2018,75D,74500,electric,,,4,5
Model S,2018,P100D,135000,electric,,,4,5
Model 3,2017,Long Range,44000,electric,,,4,5
Model S,2017,100D,92500,electric,,,4,5
Model S,2017,60,68000,electric,,,4,5
Model S,2017,60D,73000,electric,,,4,5
Model S,2017,75,69500,electric,,,4,5
Model S,2017,75D,74500,electric,,,4,5
Model S,2017,90D,87500,electric,,,4,5
Model S,2017,P100D,134500,electric,,,4,5
Model S,2016,60,66000,electric,,,4,5
Model S,2016,60D,71000,electric,,,4,5
Model S,2016,70,70000,electric,,,4,5
Model S,2016,70D,75000,electric,,,4,5
Model S,2016,75,74500,electric,,,4,5
Model S,2016,75D,79500,electric,,,4,5
Model S,2016,90D,89500,electric,,,4,5
Model S,2016,P100D,134500,electric,,,4,5
Model S,2016,P90D,112000,electric,,,4,5
Model S,2015,60,69900,electric,,,4,5
Model S,2015,70D,75000,electric,,,4,5
Model S,2015,85,80000,electric,,,4,5
Model S,2015,85D,85000,electric,,,4,5
Model S,2015,P85D,105000,electric,,,4,5
