Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
86,2020,Base,27060,gas,flat 4,24.0,2,4
86,2020,Base,27780,gas,flat 4,27.0,2,4
86,2020,GT,29910,gas,flat 4,27.0,2,4
86,2020,GT,30190,gas,flat 4,24.0,2,4
86,2020,Hakone Edition,29870,gas,flat 4,24.0,2,4
86,2020,Hakone Edition,30590,gas,flat 4,27.0,2,4
GR Supra,2020,3,49990,gas,I6,26.0,2,2
GR Supra,2020,3.0 Premium,53990,gas,I6,26.0,2,2
GR Supra,2020,Launch Edition,55250,gas,I6,26.0,2,2
86,2019,Base,27375,gas,flat 4,27.0,2,4
86,2019,Base,26655,gas,flat 4,24.0,2,4
86,2019,GT,29505,gas,flat 4,27.0,2,4
86,2019,GT,28785,gas,flat 4,24.0,2,4
86,2019,TRD SE,32420,gas,flat 4,24.0,2,4
86,2018,Base,27175,gas,flat 4,27.0,2,4
86,2018,Base,26455,gas,flat 4,24.0,2,4
86,2018,GT,29305,gas,flat 4,27.0,2,4
86,2018,GT,28585,gas,flat 4,24.0,2,4
86,2018,GT w/Black Color Package,29305,gas,flat 4,27.0,2,4
86,2018,GT w/Black Color Package,28585,gas,flat 4,24.0,2,4
86,2017,860 Special Edition,29155,gas,flat 4,24.0,2,4
86,2017,860 Special Edition,29875,gas,flat 4,27.0,2,4
86,2017,Base,26255,gas,flat 4,24.0,2,4
86,2017,Base,26975,gas,flat 4,27.0,2,4
