Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Sienna,2020,CE Fleet Cargo Van,29490,gas,V6,21.0,5,2
Sienna,2020,L 7-Passenger,31415,gas,V6,21.0,5,7
Sienna,2020,LE 7-Passenger,36775,gas,V6,20.0,5,7
Sienna,2020,LE 7-Passenger Mobility,34245,gas,V6,21.0,5,7
Sienna,2020,LE 7-Passenger Mobility Auto Access,40160,gas,V6,21.0,5,7
Sienna,2020,LE 8-Passenger,34235,gas,V6,21.0,5,8
Sienna,2020,Limited 7-Passenger,44310,gas,V6,21.0,5,7
Sienna,2020,Limited 7-Passenger,45670,gas,V6,20.0,5,7
Sienna,2020,Limited Premium 7-Passenger,47830,gas,V6,21.0,5,7
Sienna,2020,Limited Premium 7-Passenger,49190,gas,V6,20.0,5,7
Sienna,2020,SE 7-Passenger,39070,gas,V6,20.0,5,7
Sienna,2020,SE 8-Passenger,37565,gas,V6,21.0,5,8
Sienna,2020,SE Premium 7-Passenger,45165,gas,V6,20.0,5,7
Sienna,2020,SE Premium 8-Passenger,43660,gas,V6,21.0,5,8
Sienna,2020,XLE 7-Passenger,39995,gas,V6,20.0,5,7
Sienna,2020,XLE 7-Passenger Mobility Auto Access,43700,gas,V6,21.0,5,7
Sienna,2020,XLE 8-Passenger,37565,gas,V6,21.0,5,8
Sienna,2020,XLE Premium 7-Passenger,43685,gas,V6,20.0,5,7
Sienna,2020,XLE Premium 8-Passenger,41255,gas,V6,21.0,5,8
Sienna,2019,CE Fleet Cargo Van,29190,gas,V6,22.0,5,2
Sienna,2019,L 7-Passenger,31115,gas,V6,22.0,5,7
Sienna,2019,LE 7-Passenger,36475,gas,V6,20.0,5,7
Sienna,2019,LE 7-Passenger Mobility,33945,gas,V6,22.0,5,7
Sienna,2019,LE 7-Passenger Mobility Auto Access,39860,gas,V6,22.0,5,7
Sienna,2019,LE 8-Passenger,33935,gas,V6,22.0,5,8
Sienna,2019,Limited 7-Passenger,45370,gas,V6,20.0,5,7
Sienna,2019,Limited 7-Passenger,44010,gas,V6,22.0,5,7
Sienna,2019,Limited Premium 7-Passenger,48890,gas,V6,20.0,5,7
Sienna,2019,Limited Premium 7-Passenger,47530,gas,V6,22.0,5,7
Sienna,2019,SE 7-Passenger,38770,gas,V6,20.0,5,7
Sienna,2019,SE 8-Passenger,37265,gas,V6,22.0,5,8
Sienna,2019,SE Premium 7-Passenger,44865,gas,V6,20.0,5,7
Sienna,2019,SE Premium 8-Passenger,43360,gas,V6,22.0,5,8
Sienna,2019,XLE 7-Passenger,39695,gas,V6,20.0,5,7
Sienna,2019,XLE 7-Passenger Mobility Auto Access,43400,gas,V6,22.0,5,7
Sienna,2019,XLE 8-Passenger,37265,gas,V6,22.0,5,8
Sienna,2019,XLE Premium 7-Passenger,43385,gas,V6,20.0,5,7
Sienna,2019,XLE Premium 8-Passenger,40955,gas,V6,22.0,5,8
Sienna,2018,CE Fleet Cargo Van,28825,gas,V6,22.0,5,2
Sienna,2018,L 7-Passenger,30850,gas,V6,22.0,5,7
Sienna,2018,LE 7-Passenger,36300,gas,V6,20.0,5,7
Sienna,2018,LE 7-Passenger Mobility,33770,gas,V6,22.0,5,7
Sienna,2018,LE 7-Passenger Mobility Auto Access,39685,gas,V6,22.0,5,7
Sienna,2018,LE 8-Passenger,33760,gas,V6,22.0,5,8
