Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
4Runner,2020,Limited,44885,gas,V6,18.0,5,5
4Runner,2020,Limited,46920,gas,V6,18.0,5,5
4Runner,2020,Nightshade Edition,48660,gas,V6,18.0,5,5
4Runner,2020,Nightshade Edition,46625,gas,V6,18.0,5,5
4Runner,2020,SR5,37895,gas,V6,18.0,5,5
4Runner,2020,SR5,36020,gas,V6,18.0,5,5
4Runner,2020,SR5 Premium,41090,gas,V6,18.0,5,5
4Runner,2020,SR5 Premium,39215,gas,V6,18.0,5,5
4Runner,2020,TRD OFF-ROAD,39740,gas,V6,18.0,5,5
4Runner,2020,TRD OFF-ROAD Premium,42470,gas,V6,18.0,5,5
4Runner,2020,TRD PRO,49765,gas,V6,18.0,5,5
4Runner,2020,Venture Special Edition,44285,gas,V6,18.0,5,5
C-HR,2020,LE,21295,gas,I4,29.0,5,5
C-HR,2020,Limited,26350,gas,I4,29.0,5,5
C-HR,2020,XLE,23330,gas,I4,29.0,5,5
Highlander,2020,L,36200,gas,V6,23.0,5,8
Highlander,2020,L,34600,gas,V6,24.0,5,8
Highlander,2020,LE,38400,gas,V6,23.0,5,8
Highlander,2020,LE,36800,gas,V6,24.0,5,8
Highlander,2020,Limited,45600,gas,V6,23.0,5,7
Highlander,2020,Limited,43650,gas,V6,24.0,5,7
Highlander,2020,Platinum,48800,gas,V6,23.0,5,7
Highlander,2020,Platinum,46850,gas,V6,24.0,5,7
Highlander,2020,XLE,41200,gas,V6,23.0,5,7
Highlander,2020,XLE,39600,gas,V6,24.0,5,7
Highlander Hybrid,2020,LE,39800,hybrid,I4,35.0,5,8
Highlander Hybrid,2020,LE,38200,hybrid,I4,36.0,5,8
Highlander Hybrid,2020,Limited,47000,hybrid,I4,35.0,5,7
Highlander Hybrid,2020,Limited,45050,hybrid,I4,36.0,5,7
Highlander Hybrid,2020,Platinum,50200,hybrid,I4,35.0,5,7
Highlander Hybrid,2020,Platinum,48250,hybrid,I4,36.0,5,7
Highlander Hybrid,2020,XLE,42600,hybrid,I4,35.0,5,7
Highlander Hybrid,2020,XLE,41000,hybrid,I4,36.0,5,7
Land Cruiser,2020,Base,85415,gas,V8,14.0,5,8
Land Cruiser,2020,Heritage Edition,87745,gas,V8,14.0,5,5
RAV4,2020,Adventure,33055,gas,I4,28.0,5,5
RAV4,2020,Base,25950,gas,I4,30.0,5,5
RAV4,2020,LE,27350,gas,I4,30.0,5,5
RAV4,2020,Limited,35880,gas,I4,28.0,5,5
RAV4,2020,Limited,34480,gas,I4,30.0,5,5
RAV4,2020,TRD Off-Road,35280,gas,I4,27.0,5,5
RAV4,2020,XLE,28645,gas,I4,29.0,5,5
RAV4,2020,XLE,27245,gas,I4,30.0,5,5
RAV4,2020,XLE Premium,31350,gas,I4,29.0,5,5
RAV4,2020,XLE Premium,29950,gas,I4,30.0,5,5
RAV4 Hybrid,2020,LE,28350,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,LE,28350,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,Limited,36880,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,Limited,36880,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,XLE,29645,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,XLE,29645,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,XSE,34300,hybrid,I4,40.0,5,5
RAV4 Hybrid,2020,XSE,34300,hybrid,I4,40.0,5,5
