Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Avalon,2020,Limited,42175,gas,V6,25.0,4,5
Avalon,2020,Touring,42575,gas,V6,25.0,4,5
Avalon,2020,TRD,42375,gas,V6,25.0,4,5
Avalon,2020,XLE,35875,gas,V6,26.0,4,5
Avalon,2020,XSE,38375,gas,V6,25.0,4,5
Avalon Hybrid,2020,Limited,43300,hybrid,I4,43.0,4,5
Avalon Hybrid,2020,XLE,37000,hybrid,I4,44.0,4,5
Avalon Hybrid,2020,XSE,39500,hybrid,I4,43.0,4,5
Camry,2020,L,24425,gas,I4,34.0,4,5
Camry,2020,LE,24970,gas,I4,32.0,4,5
Camry,2020,LE,26370,gas,I4,29.0,4,5
Camry,2020,SE,26170,gas,I4,32.0,4,5
Camry,2020,SE,27570,gas,I4,29.0,4,5
Camry,2020,SE Nightshade Edition,26870,gas,I4,32.0,4,5
Camry,2020,SE Nightshade Edition,28270,gas,I4,29.0,4,5
Camry,2020,TRD,31170,gas,V6,25.0,4,5
Camry,2020,XLE,29455,gas,I4,31.0,4,5
Camry,2020,XLE,30855,gas,I4,28.0,4,5
Camry,2020,XLE,34580,gas,V6,26.0,4,5
Camry,2020,XSE,35130,gas,V6,26.0,4,5
Camry,2020,XSE,30005,gas,I4,31.0,4,5
Camry,2020,XSE,31405,gas,I4,28.0,4,5
Camry Hybrid,2020,LE,28430,hybrid,I4,52.0,4,5
Camry Hybrid,2020,SE,30130,hybrid,I4,46.0,4,5
Camry Hybrid,2020,XLE,32730,hybrid,I4,46.0,4,5
Corolla,2020,L,19600,gas,I4,33.0,4,5
Corolla,2020,LE,20050,gas,I4,33.0,4,5
Corolla,2020,SE,22050,gas,I4,34.0,4,5
Corolla,2020,SE,22750,gas,I4,32.0,4,5
Corolla,2020,SE Nightshade,22750,gas,I4,34.0,4,5
Corolla,2020,XLE,24050,gas,I4,32.0,4,5
Corolla,2020,XSE,25550,gas,I4,34.0,4,5
Corolla Hybrid,2020,LE,23100,hybrid,I4,52.0,4,5
Mirai,2020,Base,58550,electric (fuel cell),,,4,4
Yaris,2020,L,15650,gas,I4,34.0,4,5
Yaris,2020,L,16750,gas,I4,35.0,4,5
Yaris,2020,LE,16650,gas,I4,34.0,4,5
Yaris,2020,LE,17750,gas,I4,35.0,4,5
Yaris,2020,XLE,18750,gas,I4,35.0,4,5
Avalon,2019,Limited,41950,gas,V6,25.0,4,5
Avalon,2019,Touring,42350,gas,V6,25.0,4,5
Avalon,2019,XLE,35650,gas,V6,26.0,4,5
Avalon,2019,XSE,38150,gas,V6,25.0,4,5
Avalon Hybrid,2019,Limited,42950,hybrid,I4,43.0,4,5
Avalon Hybrid,2019,XLE,36650,hybrid,I4,44.0,4,5
Avalon Hybrid,2019,XSE,39150,hybrid,I4,43.0,4,5
Camry,2019,L,24095,gas,I4,34.0,4,5
Camry,2019,LE,24600,gas,I4,32.0,4,5
Camry,2019,SE,25800,gas,I4,32.0,4,5
Camry,2019,XLE,34300,gas,V6,26.0,4,5
Camry,2019,XLE,29175,gas,I4,32.0,4,5
Camry,2019,XSE,34850,gas,V6,26.0,4,5
Camry,2019,XSE,29725,gas,I4,32.0,4,5
Camry Hybrid,2019,LE,28400,hybrid,I4,52.0,4,5
Camry Hybrid,2019,SE,30100,hybrid,I4,46.0,4,5
Camry Hybrid,2019,XLE,32975,hybrid,I4,46.0,4,5
Corolla,2019,L,18700,gas,I4,32.0,4,5
Corolla,2019,LE,19135,gas,I4,32.0,4,5
Corolla,2019,LE Eco,19535,gas,I4,34.0,4,5
Corolla,2019,LE Eco w/Premium Package,21500,gas,I4,34.0,4,5
Corolla,2019,SE,20645,gas,I4,31.0,4,5
Corolla,2019,SE,21865,gas,I4,30.0,4,5
