Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Tacoma,2020,SR,26050,gas,I4,21.0,4,4
Tacoma,2020,SR,28310,gas,V6,21.0,4,4
Tacoma,2020,SR,31775,gas,V6,20.0,4,4
Tacoma,2020,SR,29125,gas,I4,20.0,4,4
Tacoma,2020,SR5,34310,gas,V6,20.0,4,4
Tacoma,2020,SR5,30970,gas,V6,21.0,4,4
Tacoma,2020,SR5,30900,gas,I4,20.0,4,4
Tacoma,2020,SR5,27825,gas,I4,21.0,4,4
Tacoma,2020,TRD Off Road,36030,gas,V6,20.0,4,4
Tacoma,2020,TRD Sport,34720,gas,V6,18.0,4,4
Tacoma,2020,TRD Sport,36030,gas,V6,20.0,4,4
Tacoma,2020,TRD Sport,32745,gas,V6,21.0,4,4
Tacoma,2019,SR,31575,gas,V6,20.0,4,4
Tacoma,2019,SR,25850,gas,I4,21.0,4,4
Tacoma,2019,SR,28110,gas,V6,21.0,4,4
Tacoma,2019,SR,28925,gas,I4,20.0,4,4
Tacoma,2019,SR5,27625,gas,I4,21.0,4,4
Tacoma,2019,SR5,34110,gas,V6,20.0,4,4
Tacoma,2019,SR5,30770,gas,V6,21.0,4,4
Tacoma,2019,SR5,30700,gas,I4,20.0,4,4
Tacoma,2019,TRD Off Road,35830,gas,V6,20.0,4,4
Tacoma,2019,TRD Sport,35830,gas,V6,20.0,4,4
Tacoma,2019,TRD Sport,34520,gas,V6,18.0,4,4
Tacoma,2019,TRD Sport,32545,gas,V6,21.0,4,4
Tacoma,2018,SR,25400,gas,I4,21.0,4,4
Tacoma,2018,SR,28475,gas,I4,20.0,4,4
Tacoma,2018,SR,27660,gas,V6,21.0,4,4
Tacoma,2018,SR5,30250,gas,I4,20.0,4,4
Tacoma,2018,SR5,27175,gas,I4,21.0,4,4
Tacoma,2018,SR5,33495,gas,V6,20.0,4,4
Tacoma,2018,SR5,30320,gas,V6,21.0,4,4
Tacoma,2018,TRD Off Road,35380,gas,V6,20.0,4,4
Tacoma,2018,TRD Sport,32095,gas,V6,21.0,4,4
Tacoma,2018,TRD Sport,34010,gas,V6,18.0,4,4
Tacoma,2018,TRD Sport,35380,gas,V6,20.0,4,4
Tacoma,2017,SR,27650,gas,I4,20.0,4,4
Tacoma,2017,SR,26185,gas,V6,21.0,4,4
Tacoma,2017,SR,26100,gas,I4,20.0,4,4
Tacoma,2017,SR,24575,gas,I4,21.0,4,4
Tacoma,2017,SR5,32330,gas,V6,20.0,4,4
Tacoma,2017,SR5,29735,gas,I4,20.0,4,4
Tacoma,2017,SR5,29155,gas,V6,21.0,4,4
Tacoma,2017,SR5,26660,gas,I4,21.0,4,4
Tacoma,2017,TRD Off Road,34225,gas,V6,20.0,4,4
Tacoma,2017,TRD Sport,34225,gas,V6,20.0,4,4
Tacoma,2017,TRD Sport,30940,gas,V6,21.0,4,4
Tacoma,2017,TRD Sport,32845,gas,V6,18.0,4,4
Tacoma,2016,SR,23660,gas,I4,21.0,4,4
Tacoma,2016,SR,25185,gas,I4,20.0,4,4
Tacoma,2016,SR,26735,gas,I4,20.0,4,4
Tacoma,2016,SR5,25745,gas,I4,21.0,4,4
Tacoma,2016,SR5,30530,gas,V6,20.0,4,4
Tacoma,2016,SR5,28820,gas,I4,20.0,4,4
Tacoma,2016,SR5,27355,gas,V6,21.0,4,4
Tacoma,2016,TRD Off Road,33310,gas,V6,20.0,4,4
Tacoma,2016,TRD Sport,30025,gas,V6,21.0,4,4
Tacoma,2016,TRD Sport,31680,gas,V6,18.0,4,4
Tacoma,2016,TRD Sport,33310,gas,V6,20.0,4,4
Tacoma,2015,Base,25700,gas,I4,19.0,4,4
Tacoma,2015,Base,24800,gas,I4,19.0,4,4
Tacoma,2015,Base,21865,gas,I4,21.0,4,4
Tacoma,2015,Base,20965,gas,I4,22.0,4,4
Tacoma,2015,PreRunner,22525,gas,I4,21.0,4,4
Tacoma,2015,PreRunner V6,23960,gas,V6,19.0,4,4
Tacoma,2015,TRD PRO,35725,gas,V6,17.0,4,4
Tacoma,2015,TRD PRO,36705,gas,V6,18.0,4,4
Tacoma,2015,V6,27235,gas,V6,18.0,4,4
Tacoma,2015,V6,26355,gas,V6,17.0,4,4
