Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Tundra,2020,1794,51825,gas,V8,14.0,4,5
Tundra,2020,1794,48775,gas,V8,15.0,4,5
Tundra,2020,Limited,47185,gas,V8,15.0,4,5
Tundra,2020,Limited,44135,gas,V8,15.0,4,5
Tundra,2020,Platinum,48775,gas,V8,15.0,4,5
Tundra,2020,Platinum,51825,gas,V8,14.0,4,5
Tundra,2020,SR5,37850,gas,V8,15.0,4,6
Tundra,2020,SR5,40900,gas,V8,14.0,4,6
Tundra,2020,TRD PRO,52930,gas,V8,14.0,4,5
Tundra,2019,1794,50680,gas,V8,14.0,4,5
Tundra,2019,1794,47630,gas,V8,15.0,4,5
Tundra,2019,Limited,45850,gas,V8,15.0,4,5
Tundra,2019,Limited,42800,gas,V8,15.0,4,5
Tundra,2019,Platinum,47630,gas,V8,15.0,4,5
Tundra,2019,Platinum,50680,gas,V8,14.0,4,5
Tundra,2019,SR5,40395,gas,V8,14.0,4,6
Tundra,2019,SR5,39125,gas,V8,16.0,4,6
Tundra,2019,SR5,37345,gas,V8,15.0,4,6
Tundra,2019,SR5,36075,gas,V8,16.0,4,6
Tundra,2019,SR5 FFV,40395,flex-fuel (FFV),V8,15.0,4,6
Tundra,2019,TRD PRO,49895,gas,V8,14.0,4,5
Tundra,2018,1794,50330,gas,V8,14.0,4,5
Tundra,2018,1794,47280,gas,V8,15.0,4,5
Tundra,2018,1794 FFV,47080,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,1794 FFV,50330,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,Limited,45500,gas,V8,14.0,4,5
Tundra,2018,Limited,42450,gas,V8,15.0,4,5
Tundra,2018,Limited FFV,42250,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,Limited FFV,45500,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,Platinum,47280,gas,V8,15.0,4,5
Tundra,2018,Platinum,50330,gas,V8,14.0,4,5
Tundra,2018,Platinum FFV,47080,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,Platinum FFV,50330,flex-fuel (FFV),V8,15.0,4,5
Tundra,2018,SR5,36720,gas,V8,15.0,4,6
Tundra,2018,SR5,35450,gas,V8,16.0,4,6
Tundra,2018,SR5,38500,gas,V8,16.0,4,6
Tundra,2018,SR5,39770,gas,V8,14.0,4,6
Tundra,2018,SR5 FFV,39770,flex-fuel (FFV),V8,15.0,4,6
Tundra,2018,SR5 FFV,36520,flex-fuel (FFV),V8,15.0,4,6
Tundra,2017,1794,47080,gas,V8,15.0,4,5
Tundra,2017,1794,50130,gas,V8,15.0,4,5
Tundra,2017,1794 FFV,50130,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,1794 FFV,47080,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,Limited,41245,gas,V8,15.0,4,5
Tundra,2017,Limited,44295,gas,V8,15.0,4,5
Tundra,2017,Limited FFV,44295,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,Limited FFV,41245,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,Platinum,47080,gas,V8,15.0,4,5
Tundra,2017,Platinum,50130,gas,V8,15.0,4,5
Tundra,2017,Platinum FFV,47080,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,Platinum FFV,50130,flex-fuel (FFV),V8,15.0,4,5
Tundra,2017,SR5,38570,gas,V8,15.0,4,6
Tundra,2017,SR5,37300,gas,V8,16.0,4,6
Tundra,2017,SR5,35520,gas,V8,15.0,4,6
Tundra,2017,SR5,34250,gas,V8,16.0,4,6
