Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Tacoma,2020,Limited,38790,gas,V6,21.0,4,5
Tacoma,2020,Limited,41865,gas,V6,20.0,4,5
Tacoma,2020,SR,32315,gas,V6,20.0,4,5
Tacoma,2020,SR,26880,gas,I4,21.0,4,5
Tacoma,2020,SR5,28715,gas,I4,21.0,4,5
Tacoma,2020,SR5,32115,gas,V6,21.0,4,5
Tacoma,2020,SR5,32615,gas,V6,21.0,4,5
Tacoma,2020,SR5,35190,gas,V6,20.0,4,5
Tacoma,2020,SR5,35690,gas,V6,20.0,4,5
Tacoma,2020,TRD Off Road,34000,gas,V6,21.0,4,5
Tacoma,2020,TRD Off Road,35335,gas,V6,18.0,4,5
Tacoma,2020,TRD Off Road,36965,gas,V6,20.0,4,5
Tacoma,2020,TRD Off Road,37575,gas,V6,20.0,4,5
Tacoma,2020,TRD PRO,46665,gas,V6,20.0,4,5
Tacoma,2020,TRD PRO,43960,gas,V6,18.0,4,5
Tacoma,2020,TRD Sport,34500,gas,V6,21.0,4,5
Tacoma,2020,TRD Sport,35335,gas,V6,18.0,4,5
Tacoma,2020,TRD Sport,34000,gas,V6,21.0,4,5
Tacoma,2020,TRD Sport,36965,gas,V6,20.0,4,5
Tacoma,2020,TRD Sport,37575,gas,V6,20.0,4,5
Tundra,2020,Limited,45320,gas,V8,14.0,4,5
Tundra,2020,Limited,42270,gas,V8,15.0,4,5
Tundra,2020,SR,33575,gas,V8,15.0,4,6
Tundra,2020,SR,33905,gas,V8,15.0,4,6
Tundra,2020,SR,36625,gas,V8,14.0,4,6
Tundra,2020,SR,36955,gas,V8,14.0,4,6
Tundra,2020,SR5,38295,gas,V8,14.0,4,6
Tundra,2020,SR5,38625,gas,V8,14.0,4,6
Tundra,2020,SR5,35575,gas,V8,15.0,4,6
Tundra,2020,SR5,35245,gas,V8,15.0,4,6
Tundra,2020,TRD PRO,48655,gas,V8,14.0,4,5
Tacoma,2019,Limited,40865,gas,V6,20.0,4,5
Tacoma,2019,Limited,37790,gas,V6,21.0,4,5
Tacoma,2019,SR,32115,gas,V6,20.0,4,5
Tacoma,2019,SR,26680,gas,I4,21.0,4,5
Tacoma,2019,SR5,31915,gas,V6,21.0,4,5
Tacoma,2019,SR5,32415,gas,V6,21.0,4,5
Tacoma,2019,SR5,34990,gas,V6,20.0,4,5
Tacoma,2019,SR5,35490,gas,V6,20.0,4,5
