Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Tundra,2017,SR,33550,gas,V8,15.0,2,3
Tundra,2017,SR,30500,gas,V8,15.0,2,3
Tundra,2017,SR FFV,33550,flex-fuel (FFV),V8,15.0,2,3
Tundra,2017,SR FFV,30500,flex-fuel (FFV),V8,15.0,2,3
Tundra,2016,SR,29950,gas,V8,15.0,2,3
Tundra,2016,SR,33000,gas,V8,15.0,2,3
Tundra,2016,SR FFV,33000,flex-fuel (FFV),V8,15.0,2,3
Tundra,2016,SR FFV,29950,flex-fuel (FFV),V8,15.0,2,3
Tundra,2015,SR,29120,gas,V8,15.0,2,3
Tundra,2015,SR,32170,gas,V8,15.0,2,3
Tundra,2015,SR FFV,32170,flex-fuel (FFV),V8,15.0,2,3
