Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Prius v,2017,Five,30935,hybrid,I4,41.0,5,5
Prius v,2017,Four,29695,hybrid,I4,41.0,5,5
Prius v,2017,Three,28060,hybrid,I4,41.0,5,5
Prius v,2017,Two,26675,hybrid,I4,41.0,5,5
Prius v,2016,Five,30935,hybrid,I4,42.0,5,5
Prius v,2016,Four,29695,hybrid,I4,42.0,5,5
Prius v,2016,Three,28060,hybrid,I4,42.0,5,5
Prius v,2016,Two,26675,hybrid,I4,42.0,5,5
Prius v,2015,Five,30935,hybrid,I4,42.0,5,5
Prius v,2015,Four,29695,hybrid,I4,42.0,5,5
Prius v,2015,Three,28060,hybrid,I4,42.0,5,5
Prius v,2015,Two,26675,hybrid,I4,42.0,5,5
Venza,2015,LE,29065,gas,I4,23.0,5,5
Venza,2015,LE,30515,gas,I4,22.0,5,5
Venza,2015,Limited,39940,gas,V6,21.0,5,5
Venza,2015,XLE,35600,gas,V6,21.0,5,5
Venza,2015,XLE,34150,gas,V6,22.0,5,5
Venza,2015,XLE,33560,gas,I4,22.0,5,5
Venza,2015,XLE,32110,gas,I4,23.0,5,5
