Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Beetle Convertible,2019,2.0T Final Edition SE,27295,gas,I4,29.0,2,4
Beetle Convertible,2019,2.0T Final Edition SEL,29995,gas,I4,29.0,2,4
Beetle Convertible,2019,2.0T S,25995,gas,I4,29.0,2,4
Beetle Convertible,2019,2.0T SE,28395,gas,I4,29.0,2,4
Beetle Convertible,2018,2.0T Coast,26840,gas,I4,29.0,2,4
Beetle Convertible,2018,2.0T Dune,32090,gas,I4,29.0,2,4
Beetle Convertible,2018,2.0T S,25440,gas,I4,29.0,2,4
Beetle Convertible,2018,2.0T SE,28040,gas,I4,29.0,2,4
Beetle Convertible,2017,#PinkBeetle,26795,gas,I4,28.0,2,4
Beetle Convertible,2017,1.8T Classic,24995,gas,I4,28.0,2,4
Beetle Convertible,2017,1.8T Dune,29395,gas,I4,27.0,2,4
Beetle Convertible,2017,1.8T S,24725,gas,I4,28.0,2,4
Beetle Convertible,2017,1.8T SE,26750,gas,I4,28.0,2,4
Beetle Convertible,2017,1.8T SEL,30275,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T Denim,25995,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T Denim PZEV,25995,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T S,25490,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T S PZEV,25490,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T SE,28070,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T SE PZEV,28070,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T SEL,30500,gas,I4,28.0,2,4
Beetle Convertible,2016,1.8T SEL PZEV,30500,gas,I4,28.0,2,4
Beetle Convertible,2016,R-Line S,30890,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line S,29790,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line S PZEV,29790,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line S PZEV,30890,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SE,31570,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SE,32670,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SE PZEV,32670,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SE PZEV,31570,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SEL,34950,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SEL,36050,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SEL PZEV,36050,gas,I4,26.0,2,4
Beetle Convertible,2016,R-Line SEL PZEV,34950,gas,I4,26.0,2,4
