Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Arteon,2020,SE,37895,gas,I4,23.0,5,5
Arteon,2020,SE,35995,gas,I4,25.0,5,5
Arteon,2020,SEL,41895,gas,I4,23.0,5,5
Arteon,2020,SEL,39995,gas,I4,25.0,5,5
Arteon,2020,SEL Premium R-Line,47695,gas,I4,23.0,5,5
Arteon,2020,SEL R-Line,41745,gas,I4,25.0,5,5
Arteon,2020,SEL R-Line,43645,gas,I4,23.0,5,5
Golf,2020,TSI,23995,gas,I4,32.0,5,5
Golf,2020,TSI,23195,gas,I4,31.0,5,5
Golf GTI,2020,Autobahn,36495,gas,I4,27.0,5,5
Golf GTI,2020,Autobahn,37295,gas,I4,27.0,5,5
Golf GTI,2020,S,28595,gas,I4,27.0,5,5
Golf GTI,2020,S,29395,gas,I4,27.0,5,5
Golf GTI,2020,SE,32195,gas,I4,27.0,5,5
Golf GTI,2020,SE,32995,gas,I4,27.0,5,5
Arteon,2019,SE,35845,gas,I4,25.0,5,5
Arteon,2019,SE 4MOTION,37645,gas,I4,23.0,5,5
Arteon,2019,SE R-Line,37110,gas,I4,25.0,5,5
Arteon,2019,SE R-Line,37610,gas,I4,25.0,5,5
Arteon,2019,SE R-Line 4MOTION,39410,gas,I4,23.0,5,5
Arteon,2019,SE R-Line 4MOTION,38910,gas,I4,23.0,5,5
Arteon,2019,SEL,39995,gas,I4,25.0,5,5
Arteon,2019,SEL 4MOTION,41795,gas,I4,23.0,5,5
Arteon,2019,SEL Premium 4MOTION,44945,gas,I4,23.0,5,5
Arteon,2019,SEL Premium R-Line 4MOTION,46210,gas,I4,23.0,5,5
Arteon,2019,SEL Premium R-Line 4MOTION,46710,gas,I4,23.0,5,5
Arteon,2019,SEL R-Line,41260,gas,I4,25.0,5,5
Arteon,2019,SEL R-Line,41760,gas,I4,25.0,5,5
Arteon,2019,SEL R-Line 4MOTION,43560,gas,I4,23.0,5,5
Arteon,2019,SEL R-Line 4MOTION,43060,gas,I4,23.0,5,5
Beetle,2019,2.0T Final Edition SE,23045,gas,I4,29.0,3,4
Beetle,2019,2.0T Final Edition SEL,25995,gas,I4,29.0,3,4
Beetle,2019,2.0T S,20895,gas,I4,29.0,3,4
Beetle,2019,2.0T SE,24395,gas,I4,29.0,3,4
e-Golf,2019,SE,31895,electric,,,5,5
e-Golf,2019,SEL Premium,38895,electric,,,5,5
Golf,2019,1.4T S,22945,gas,I4,32.0,5,5
Golf,2019,1.4T S,21845,gas,I4,32.0,5,5
Golf,2019,1.4T SE,24145,gas,I4,32.0,5,5
Golf,2019,1.4T SE,25245,gas,I4,32.0,5,5
Golf GTI,2019,Autobahn,35995,gas,I4,27.0,5,5
Golf GTI,2019,Autobahn,37095,gas,I4,27.0,5,5
Golf GTI,2019,Rabbit Edition,29995,gas,I4,27.0,5,5
Golf GTI,2019,Rabbit Edition,28895,gas,I4,27.0,5,5
Golf GTI,2019,S,27595,gas,I4,27.0,5,5
Golf GTI,2019,S,28695,gas,I4,27.0,5,5
Golf GTI,2019,SE,32895,gas,I4,27.0,5,5
Golf GTI,2019,SE,31795,gas,I4,27.0,5,5
Golf R,2019,2.0T w/DCC and Navigation,41495,gas,I4,26.0,5,5
Golf R,2019,2.0T w/DCC and Navigation,40395,gas,I4,24.0,5,5
Beetle,2018,2.0T Coast,23120,gas,I4,29.0,3,4
Beetle,2018,2.0T Dune,26790,gas,I4,29.0,3,4
Beetle,2018,2.0T S,20220,gas,I4,29.0,3,4
