Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Atlas,2020,S,34745,gas,V6,19.0,5,7
Atlas,2020,S,31545,gas,I4,22.0,5,7
Atlas,2020,SE,36095,gas,V6,19.0,5,7
Atlas,2020,SE,37895,gas,V6,19.0,5,7
Atlas,2020,SE,34695,gas,I4,22.0,5,7
Atlas,2020,SE w/Technology,37045,gas,I4,22.0,5,7
Atlas,2020,SE w/Technology,38445,gas,V6,19.0,5,7
Atlas,2020,SE w/Technology,40245,gas,V6,19.0,5,7
Atlas,2020,SE w/Technology R-Line,42445,gas,V6,19.0,5,7
Atlas,2020,SE w/Technology R-Line,40645,gas,V6,19.0,5,7
Atlas,2020,SEL,42595,gas,V6,19.0,5,7
Atlas,2020,SEL,44395,gas,V6,19.0,5,7
Atlas,2020,SEL,40795,gas,I4,22.0,5,7
Atlas,2020,SEL Premium,49195,gas,V6,19.0,5,7
Atlas,2020,SEL R-Line,44295,gas,V6,19.0,5,7
Atlas,2020,SEL R-Line,46095,gas,V6,19.0,5,7
Atlas Cross Sport,2020,S,30545,gas,I4,22.0,5,5
Atlas Cross Sport,2020,S,32445,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SE,33945,gas,I4,22.0,5,5
Atlas Cross Sport,2020,SE,35845,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SE w/Technology,35945,gas,I4,22.0,5,5
Atlas Cross Sport,2020,SE w/Technology,37345,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SE w/Technology,37845,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SE w/Technology,39245,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SE w/Technology R-Line,37345,gas,I4,22.0,5,5
Atlas Cross Sport,2020,SE w/Technology R-Line,38745,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SE w/Technology R-Line,39245,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SE w/Technology R-Line,40645,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SEL,43245,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SEL,39545,gas,I4,22.0,5,5
Atlas Cross Sport,2020,SEL,41345,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SEL,41445,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SEL Premium,48095,gas,V6,19.0,5,5
Atlas Cross Sport,2020,SEL Premium,46295,gas,I4,20.0,5,5
Atlas Cross Sport,2020,SEL Premium R-Line,49795,gas,V6,19.0,5,5
