Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Jetta,2020,R-Line SULEV,23495,gas,I4,34.0,4,5
Jetta,2020,R-Line SULEV,22695,gas,I4,34.0,4,5
Jetta,2020,R-Line ULEV,23495,gas,I4,34.0,4,5
Jetta,2020,S SULEV,19695,gas,I4,34.0,4,5
Jetta,2020,S SULEV,18895,gas,I4,34.0,4,5
Jetta,2020,S ULEV,19695,gas,I4,34.0,4,5
Jetta,2020,SE SULEV,22645,gas,I4,34.0,4,5
Jetta,2020,SE ULEV,22645,gas,I4,34.0,4,5
Jetta,2020,SEL Premium SULEV,27945,gas,I4,34.0,4,5
Jetta,2020,SEL Premium ULEV,27945,gas,I4,34.0,4,5
Jetta,2020,SEL SULEV,25495,gas,I4,34.0,4,5
Jetta,2020,SEL ULEV,25495,gas,I4,34.0,4,5
Jetta GLI,2020,Autobahn,30745,gas,I4,28.0,4,5
Jetta GLI,2020,Autobahn,29945,gas,I4,28.0,4,5
Jetta GLI,2020,S,27045,gas,I4,28.0,4,5
Jetta GLI,2020,S,26245,gas,I4,28.0,4,5
Passat,2020,R-Line,28645,gas,I4,27.0,4,5
Passat,2020,S,22995,gas,I4,27.0,4,5
Passat,2020,SE,25845,gas,I4,27.0,4,5
Passat,2020,SEL,31095,gas,I4,27.0,4,5
Jetta,2019,1.4T R-Line,23245,gas,I4,34.0,4,5
Jetta,2019,1.4T R-Line ULEV,23245,gas,I4,34.0,4,5
Jetta,2019,1.4T S,18745,gas,I4,34.0,4,5
Jetta,2019,1.4T S,19545,gas,I4,34.0,4,5
Jetta,2019,1.4T S ULEV,19545,gas,I4,34.0,4,5
Jetta,2019,1.4T SE,22395,gas,I4,34.0,4,5
Jetta,2019,1.4T SE ULEV,22395,gas,I4,34.0,4,5
Jetta,2019,1.4T SEL,24695,gas,I4,34.0,4,5
Jetta,2019,1.4T SEL Premium,27195,gas,I4,34.0,4,5
Jetta,2019,1.4T SEL Premium w/CWP,27695,gas,I4,34.0,4,5
Jetta,2019,1.4T SEL Premium w/CWP ULEV,27695,gas,I4,34.0,4,5
Jetta,2019,1.4T SEL ULEV,24695,gas,I4,34.0,4,5
Jetta GLI,2019,35th Anniversary Edition,26995,gas,I4,28.0,4,5
Jetta GLI,2019,35th Anniversary Edition,27795,gas,I4,28.0,4,5
Jetta GLI,2019,Autobahn,29995,gas,I4,28.0,4,5
Jetta GLI,2019,Autobahn,29195,gas,I4,28.0,4,5
Jetta GLI,2019,S,26795,gas,I4,28.0,4,5
Jetta GLI,2019,S,25995,gas,I4,28.0,4,5
Passat,2019,SE R-Line,29995,gas,I4,29.0,4,5
Passat,2019,Wolfsburg Edition,25295,gas,I4,29.0,4,5
Jetta,2018,1.4T S,19645,gas,I4,32.0,4,5
Jetta,2018,1.4T S,18645,gas,I4,33.0,4,5
Jetta,2018,1.4T SE,21245,gas,I4,33.0,4,5
Jetta,2018,1.4T SE,22245,gas,I4,32.0,4,5
Jetta,2018,1.4T Wolfsburg Edition,20345,gas,I4,33.0,4,5
Jetta,2018,1.4T Wolfsburg Edition,21345,gas,I4,32.0,4,5
Jetta,2018,1.8T SE Sport,23245,gas,I4,28.0,4,5
Jetta,2018,1.8T SEL,26245,gas,I4,28.0,4,5
Jetta,2018,2.0T GLI,29545,gas,I4,27.0,4,5
Passat,2018,R-Line,24995,gas,I4,29.0,4,5
Passat,2018,S,22995,gas,I4,29.0,4,5
Passat,2018,SE,26295,gas,I4,29.0,4,5
Passat,2018,SE w/Technology,29595,gas,I4,29.0,4,5
Passat,2018,SEL Premium,31650,gas,I4,29.0,4,5
Passat,2018,V6 GT,29145,gas,V6,22.0,4,5
Passat,2018,V6 SEL Premium,34650,gas,V6,22.0,4,5
CC,2017,2.0T R-Line Executive,37820,gas,I4,25.0,4,5
CC,2017,2.0T R-Line Executive PZEV,37820,gas,I4,25.0,4,5
CC,2017,2.0T R-Line Executive w/Carbon,37820,gas,I4,25.0,4,5
CC,2017,2.0T R-Line Executive w/Carbon PZEV,37820,gas,I4,25.0,4,5
CC,2017,2.0T Sport,34475,gas,I4,25.0,4,5
CC,2017,2.0T Sport PZEV,34475,gas,I4,25.0,4,5
Jetta,2017,1.4T S,17895,gas,I4,33.0,4,5
Jetta,2017,1.4T S,18995,gas,I4,32.0,4,5
Jetta,2017,1.4T SE,20895,gas,I4,33.0,4,5
Jetta,2017,1.4T SE,21995,gas,I4,32.0,4,5
Jetta,2017,1.8T SEL,24995,gas,I4,29.0,4,5
Jetta,2017,1.8T SEL Premium,26995,gas,I4,29.0,4,5
Jetta,2017,1.8T Sport,22175,gas,I4,32.0,4,5
Jetta,2017,2.0T GLI,27895,gas,I4,27.0,4,5
Jetta,2017,2.0T GLI,28995,gas,I4,27.0,4,5
Passat,2017,R-Line,23975,gas,I4,27.0,4,5
Passat,2017,S,22440,gas,I4,27.0,4,5
Passat,2017,SE,25495,gas,I4,27.0,4,5
Passat,2017,SE w/Technology,27995,gas,I4,27.0,4,5
Passat,2017,SEL Premium,30995,gas,I4,27.0,4,5
Passat,2017,V6 SE w/Technology,29295,gas,V6,23.0,4,5
Passat,2017,V6 SEL Premium,33995,gas,V6,23.0,4,5
CC,2016,2.0T R-Line,35755,gas,I4,25.0,4,5
CC,2016,2.0T R-Line,34655,gas,I4,25.0,4,5
CC,2016,2.0T R-Line Executive,37820,gas,I4,25.0,4,5
CC,2016,2.0T R-Line Executive PZEV,37820,gas,I4,25.0,4,5
CC,2016,2.0T R-Line Executive w/Carbon,37820,gas,I4,25.0,4,5
CC,2016,2.0T R-Line Executive w/Carbon PZEV,37820,gas,I4,25.0,4,5
CC,2016,2.0T R-Line PZEV,35755,gas,I4,25.0,4,5
CC,2016,2.0T R-Line PZEV,34655,gas,I4,25.0,4,5
CC,2016,2.0T Sport,34475,gas,I4,25.0,4,5
CC,2016,2.0T Sport PZEV,34475,gas,I4,25.0,4,5
CC,2016,2.0T Trend,32670,gas,I4,25.0,4,5
CC,2016,2.0T Trend,31570,gas,I4,25.0,4,5
CC,2016,2.0T Trend PZEV,31570,gas,I4,25.0,4,5
CC,2016,2.0T Trend PZEV,32670,gas,I4,25.0,4,5
CC,2016,3.6L V6 4Motion Executive,44355,gas,V6,20.0,4,5
Jetta,2016,1.4T S,18780,gas,I4,32.0,4,5
Jetta,2016,1.4T S,17680,gas,I4,30.0,4,5
Jetta,2016,1.4T S w/Technology,19775,gas,I4,32.0,4,5
Jetta,2016,1.4T S w/Technology,18675,gas,I4,30.0,4,5
Jetta,2016,1.4T SE,20095,gas,I4,32.0,4,5
Jetta,2016,1.4T SE,18995,gas,I4,32.0,4,5
Jetta,2016,1.4T SE w/Connectivity,22325,gas,I4,32.0,4,5
Jetta,2016,1.8T SEL,23650,gas,I4,29.0,4,5
Jetta,2016,1.8T SEL Premium,25380,gas,I4,29.0,4,5
Jetta,2016,1.8T SEL Premium PZEV,25380,gas,I4,29.0,4,5
Jetta,2016,1.8T SEL PZEV,23650,gas,I4,29.0,4,5
Jetta,2016,1.8T Sport PZEV,20895,gas,I4,29.0,4,5
Jetta,2016,1.8T Sport PZEV,21995,gas,I4,29.0,4,5
Jetta,2016,2.0T GLI SE,28020,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SE,26920,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SE PZEV,26920,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SE PZEV,28020,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SEL,30380,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SEL,29280,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SEL PZEV,30380,gas,I4,27.0,4,5
Jetta,2016,2.0T GLI SEL PZEV,29280,gas,I4,27.0,4,5
Jetta,2016,Hybrid SEL Premium,31120,hybrid,I4,44.0,4,5
Passat,2016,R-Line,23975,gas,I4,29.0,4,5
Passat,2016,R-Line PZEV,23975,gas,I4,29.0,4,5
Passat,2016,R-Line PZEV w/Comfort Package,24750,gas,I4,29.0,4,5
Passat,2016,R-Line w/Comfort Package,24750,gas,I4,29.0,4,5
Passat,2016,S,22440,gas,I4,29.0,4,5
Passat,2016,S PZEV,22440,gas,I4,29.0,4,5
Passat,2016,SE,26280,gas,I4,29.0,4,5
Passat,2016,SE PZEV,26280,gas,I4,29.0,4,5
Passat,2016,SE PZEV w/Technology,28410,gas,I4,29.0,4,5
Passat,2016,SE w/Technology,28410,gas,I4,29.0,4,5
Passat,2016,SEL,30495,gas,I4,29.0,4,5
Passat,2016,SEL Premium,34270,gas,I4,29.0,4,5
Passat,2016,SEL Premium PZEV,34270,gas,I4,29.0,4,5
Passat,2016,SEL PZEV,30495,gas,I4,29.0,4,5
Passat,2016,V6 SEL Premium,36835,gas,V6,23.0,4,5
CC,2015,Executive,38085,gas,I4,25.0,4,5
CC,2015,Executive PZEV,38085,gas,I4,25.0,4,5
CC,2015,R-Line,34275,gas,I4,25.0,4,5
CC,2015,R-Line,35375,gas,I4,25.0,4,5
CC,2015,R-Line PZEV,34275,gas,I4,25.0,4,5
CC,2015,R-Line PZEV,35375,gas,I4,25.0,4,5
CC,2015,Sport,32995,gas,I4,25.0,4,5
CC,2015,Sport,34095,gas,I4,25.0,4,5
CC,2015,Sport PZEV,32995,gas,I4,25.0,4,5
CC,2015,Sport PZEV,34095,gas,I4,25.0,4,5
CC,2015,V6 4Motion Executive,43575,gas,V6,20.0,4,5
Jetta,2015,Base,16215,gas,I4,28.0,4,5
Jetta,2015,GLI SE,28020,gas,I4,27.0,4,5
Jetta,2015,GLI SE,26920,gas,I4,26.0,4,5
Jetta,2015,GLI SE PZEV,28020,gas,I4,27.0,4,5
Jetta,2015,GLI SE PZEV,26920,gas,I4,26.0,4,5
Jetta,2015,GLI SEL,30380,gas,I4,27.0,4,5
Jetta,2015,GLI SEL,29280,gas,I4,26.0,4,5
Jetta,2015,GLI SEL PZEV,29280,gas,I4,26.0,4,5
Jetta,2015,GLI SEL PZEV,30380,gas,I4,27.0,4,5
Jetta,2015,Hybrid SEL Premium,31670,hybrid,I4,45.0,4,5
Jetta,2015,S,17325,gas,I4,28.0,4,5
Jetta,2015,S,18425,gas,I4,26.0,4,5
Jetta,2015,S w/Technology,18320,gas,I4,28.0,4,5
Jetta,2015,S w/Technology,19420,gas,I4,26.0,4,5
Jetta,2015,SE,20095,gas,I4,30.0,4,5
Jetta,2015,SE,18995,gas,I4,29.0,4,5
Jetta,2015,SE PZEV,18995,gas,I4,29.0,4,5
Jetta,2015,SE PZEV,20095,gas,I4,30.0,4,5
Jetta,2015,SE PZEV w/Connectivity,22325,gas,I4,30.0,4,5
Jetta,2015,"SE PZEV w/Connectivity, Navigation",23650,gas,I4,30.0,4,5
Jetta,2015,SE w/Connectivity,22325,gas,I4,30.0,4,5
Jetta,2015,"SE w/Connectivity, Navigation",23650,gas,I4,30.0,4,5
Jetta,2015,SEL,25380,gas,I4,30.0,4,5
Jetta,2015,SEL PZEV,25380,gas,I4,30.0,4,5
Jetta,2015,Sport,21995,gas,I4,30.0,4,5
Jetta,2015,Sport,20895,gas,I4,29.0,4,5
Jetta,2015,TDI S,22740,diesel,I4,36.0,4,5
Jetta,2015,TDI S,21640,diesel,I4,36.0,4,5
Jetta,2015,TDI SE w/Connectivity,24075,diesel,I4,36.0,4,5
Jetta,2015,TDI SE w/Connectivity,25175,diesel,I4,36.0,4,5
Jetta,2015,TDI SEL,27510,diesel,I4,36.0,4,5
Jetta,2015,TDI SEL,26410,diesel,I4,36.0,4,5
Passat,2015,Limited Edition,23995,gas,I4,28.0,4,5
