Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
Golf Alltrack,2019,TSI S,27995,gas,I4,25.0,5,5
Golf Alltrack,2019,TSI S,26895,gas,I4,24.0,5,5
Golf Alltrack,2019,TSI SE,31595,gas,I4,25.0,5,5
Golf Alltrack,2019,TSI SE,30495,gas,I4,24.0,5,5
Golf Alltrack,2019,TSI SEL,34995,gas,I4,24.0,5,5
Golf Alltrack,2019,TSI SEL,36095,gas,I4,25.0,5,5
Golf SportWagen,2019,1.4T S,21895,gas,I4,32.0,5,5
Golf SportWagen,2019,1.4T S,22995,gas,I4,31.0,5,5
Golf SportWagen,2019,1.4T SE,29995,gas,I4,31.0,5,5
Golf SportWagen,2019,1.8T S 4MOTION,25495,gas,I4,24.0,5,5
Golf SportWagen,2019,1.8T S 4MOTION,24395,gas,I4,25.0,5,5
Golf Alltrack,2018,TSI S,25955,gas,I4,24.0,5,5
Golf Alltrack,2018,TSI S,27055,gas,I4,25.0,5,5
Golf Alltrack,2018,TSI SE,29765,gas,I4,24.0,5,5
Golf Alltrack,2018,TSI SE,30865,gas,I4,25.0,5,5
Golf Alltrack,2018,TSI SEL,35660,gas,I4,25.0,5,5
Golf SportWagen,2018,TSI S,21685,gas,I4,29.0,5,5
Golf SportWagen,2018,TSI S,22785,gas,I4,28.0,5,5
Golf SportWagen,2018,TSI S 4Motion,23935,gas,I4,25.0,5,5
Golf SportWagen,2018,TSI S 4Motion,25035,gas,I4,24.0,5,5
Golf SportWagen,2018,TSI SE,27320,gas,I4,28.0,5,5
Golf SportWagen,2018,TSI SEL,30245,gas,I4,28.0,5,5
Golf Alltrack,2017,TSI S,26950,gas,I4,25.0,5,5
Golf Alltrack,2017,TSI S,25850,gas,I4,26.0,5,5
Golf Alltrack,2017,TSI SE,30530,gas,I4,25.0,5,5
Golf Alltrack,2017,TSI SE,29430,gas,I4,26.0,5,5
Golf Alltrack,2017,TSI SEL,32890,gas,I4,25.0,5,5
Golf SportWagen,2017,TSI S,21580,gas,I4,28.0,5,5
Golf SportWagen,2017,TSI S,22680,gas,I4,29.0,5,5
Golf SportWagen,2017,TSI S 4Motion,23830,gas,I4,26.0,5,5
Golf SportWagen,2017,TSI S 4Motion,24930,gas,I4,25.0,5,5
Golf SportWagen,2017,TSI SE,27030,gas,I4,29.0,5,5
Golf SportWagen,2017,TSI SEL,29970,gas,I4,29.0,5,5
Golf SportWagen,2016,TSI Limited Edition,24995,gas,I4,29.0,5,5
Golf SportWagen,2016,TSI S,22725,gas,I4,29.0,5,5
Golf SportWagen,2016,TSI S,21625,gas,I4,29.0,5,5
Golf SportWagen,2016,TSI SE,27025,gas,I4,29.0,5,5
Golf SportWagen,2016,TSI SEL,29385,gas,I4,29.0,5,5
Golf SportWagen,2015,TDI S,25695,diesel,I4,35.0,5,5
Golf SportWagen,2015,TDI S,24595,diesel,I4,35.0,5,5
Golf SportWagen,2015,TDI SE,29095,diesel,I4,35.0,5,5
Golf SportWagen,2015,TDI SE,27995,diesel,I4,35.0,5,5
Golf SportWagen,2015,TDI SEL,31445,diesel,I4,35.0,5,5
Golf SportWagen,2015,TDI SEL,30345,diesel,I4,35.0,5,5
Golf SportWagen,2015,TSI S,22495,gas,I4,29.0,5,5
Golf SportWagen,2015,TSI S,21395,gas,I4,29.0,5,5
Golf SportWagen,2015,TSI SE,26995,gas,I4,29.0,5,5
Golf SportWagen,2015,TSI SEL,29345,gas,I4,29.0,5,5
