Model Name,Trim Year,Trim Name,Trim Msrp,Engine Type,Engine Cylinders,Mileage Combined Mpg,Body Doors,Body Seats
EQ fortwo,2019,passion,28100,electric,,,2,2
EQ fortwo,2019,prime,29100,electric,,,2,2
fortwo,2018,electric drive passion,28100,electric,,,2,2
fortwo,2018,electric drive prime,29100,electric,,,2,2
fortwo,2017,electric drive passion,28000,electric,,,2,2
fortwo,2017,electric drive prime,29000,electric,,,2,2
fortwo,2017,passion,18900,gas,I3,34.0,2,2
fortwo,2017,prime,19900,gas,I3,34.0,2,2
fortwo,2017,proxy,20900,gas,I3,34.0,2,2
fortwo,2015,electric drive cabriolet,28000,electric,,,2,2
fortwo,2015,passion cabriolet,17930,gas,I3,36.0,2,2
